obs;age;delta;resp;error;errorc;rt;rtc;theta;block;stimtype;outliers;stimtype_bk;case;ntrials;study;experiment;stimulus;cond
1;28;60;93;-1;2.08503401360544;2.22450979918676;2.22450979918676;94;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;43;49;-2;1.08503401360544;1.14966233226778;1.14966233226778;51;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;78;138;-15;-11.9149659863946;1.01629565276198;1.01629565276198;153;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;39;119;5;8.08503401360544;1.3912284874923;1.3912284874923;114;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;60;66;12;15.0850340136054;2.14933873150949;2.14933873150949;54;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;63;149;-22;-18.9149659863946;1.39965388000928;1.39965388000928;171;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;51;117;-3;0.0850340136054424;1.02469810343382;1.02469810343382;120;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-2;120;-2;1.08503401360544;1.50786875091308;1.50786875091308;122;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-25;142;-5;-1.91496598639456;2.27453056759305;2.27453056759305;147;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;26;127;6;9.08503401360544;2.60779769156716;2.60779769156716;121;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-85;18;-8;-4.91496598639456;1.29967211273879;1.29967211273879;26;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;5;22;1;4.08503401360544;1.66622906103885;1.66622906103885;21;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-47;53;-15;-11.9149659863946;1.81620201381065;1.81620201381065;68;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;24;41;-3;0.0850340136054424;3.90757153327604;3.90757153327604;44;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-7;47;-4;-0.914965986394558;2.0245248321321;2.0245248321321;51;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-78;123;-6;-2.91496598639456;1.57461291674144;1.57461291674144;129;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-19;126;-22;-18.9149659863946;1.43295185472743;1.43295185472743;148;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;84;63;-1;2.08503401360544;2.63273034517806;2.63273034517806;64;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-49;109;-4;-0.914965986394558;2.16621276025398;2.16621276025398;113;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;13;102;2;5.08503401360544;1.257960216426;1.257960216426;100;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-55;143;-12;-8.91496598639456;1.10801594095983;1.10801594095983;155;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-29;9;5;8.08503401360544;1.39964754081575;1.39964754081575;4;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;52;131;-1;2.08503401360544;2.06625061429804;2.06625061429804;132;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-37;154;-15;-11.9149659863946;1.33302019727535;1.33302019727535;169;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-37;10;-16;-12.9149659863946;1.72458768071238;1.72458768071238;26;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-60;99;13;16.0850340136054;1.59958300178323;1.59958300178323;86;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-32;123;5;8.08503401360544;1.52457946994673;1.52457946994673;118;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-11;126;-3;0.0850340136054424;2.13287795783754;2.13287795783754;129;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-62;14;3;6.08503401360544;1.89118622619935;1.89118622619935;11;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;24;156;-11;-7.91496598639456;1.73291074052668;1.73291074052668;167;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-14;1;0;3.08503401360544;2.64113460704857;2.64113460704857;1;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-48;35;-14;-10.9149659863946;1.28297407209311;1.28297407209311;49;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;23;28;2;5.08503401360544;1.06639128403094;1.06639128403094;26;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;89;117;0;3.08503401360544;1.25800579824954;1.25800579824954;117;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;37;79;-1;2.08503401360544;2.15781061144844;2.15781061144844;80;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;32;57;9;12.0850340136054;1.14131844367375;1.14131844367375;48;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;47;0;-1;2.08503401360544;2.95769433251917;2.95769433251917;1;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-70;74;3;6.08503401360544;1.09130280699537;1.09130280699537;71;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-83;136;-18;-14.9149659863946;1.87461828996311;1.87461828996311;154;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;46;109;1;4.08503401360544;1.74957195347406;1.74957195347406;108;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-87;5;-10;-6.91496598639456;1.81621227726782;1.81621227726782;15;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
