delta;theta;resp;error;rt;obs;block;range;mindelta;study;experiment;stimulus;expnum
-130;162.766345224195;145.747628412938;-17.018716811257;1.14162722199944;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-80;242.766345224195;238.984627071638;-3.78171815255675;1.11695507100012;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
40;202.766345224195;206.299805896494;3.53346067229853;0.988334008001402;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
120;82.766345224195;69.0669342902909;-13.6994109339042;0.932640556999104;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
170;272.766345224195;255.934721204619;-16.8316240195765;1.24211606599965;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-100;12.766345224195;15.1700876970993;2.40374247290424;1.28393333900021;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-70;82.766345224195;81.6676906076814;-1.09865461651363;0.958278214000529;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
10;72.766345224195;75.1763902493755;2.41004502518041;1.37643945300078;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-100;172.766345224195;166.368803609441;-6.39754161475375;1.02800508099972;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-170;342.766345224195;337.184945327845;-5.58139989635038;1.09137216099953;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
50;292.766345224195;295.491044860823;2.72469963662797;2.32859186099995;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
70;222.766345224195;207.277283777203;-15.4890614469922;1.27477487000033;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-20;242.766345224195;223.880011239939;-18.8863339842557;4.44250311399992;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-160;42.766345224195;42.1772432932683;-0.589101930926738;0.750223969998842;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-110;152.766345224195;137.970156415765;-14.7961888084298;1.02473322599872;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
10;142.766345224195;144.653936852791;1.88759162859574;0.992031077999854;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
180;322.766345224195;320.721395195754;-2.04495002844141;1.03305022200038;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
20;302.766345224195;292.149257907435;-10.6170873167604;0.825036053000076;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-130;72.766345224195;52.9874772814088;-19.7788679427862;1.19996995499969;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-150;222.766345224195;228.934167232117;6.16782200792181;0.916616911999881;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-50;272.766345224195;279.64882042883;6.88247520463528;0.766457424000691;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-30;302.766345224195;309.742441410655;6.97609618645998;1.95923885500088;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
110;192.766345224195;213.164388266977;20.3980430427818;1.17474059099914;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
60;132.766345224195;125.67962078408;-7.08672444011458;1.19121708100101;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
