obs;theta;resp;error;block;cond;rt;trials;delta;study;experiment;stimulus;expnum
2;310.431;286.672;-23.759;5;1;9;6;-52.835;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;192.7;206.286;13.586;5;1;9;7;117.731;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;227.734;232.915;5.18100000000004;5;1;9;8;-35.034;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;333.746;336.512;2.76599999999999;5;1;9;9;-106.012;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;288.124;280.181;-7.94299999999998;5;1;9;10;45.622;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;36.112;30.836;-5.27599999999998;5;1;9;11;-107.988;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;71.439;269.535;-161.904;5;1;9;12;-35.327;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;168.8479;160.8197;-8.0282;5;1;9;13;-97.4089;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;264.183;267.541;3.35800000000003;5;1;9;14;-95.3351;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;85.4525;90.3691;4.91660000000002;5;1;9;15;178.7305;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;139.7551;1.85300000000001;-137.9021;5;1;9;16;-54.3026;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;44.428;182.856;138.428;5;1;9;17;95.3271;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;151.8984;155.9317;4.0333;5;1;9;18;-107.4704;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;202.242;189.604;-12.6380000000001;6;1;9;1;-50.3436;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;122.9263;99.1421;-23.7842;6;1;9;2;79.3157;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;59.267;65.008;5.74100000000001;6;1;9;3;63.6593;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;259.933;259.751;-0.182000000000073;6;1;9;4;159.334;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;17.552;12.94;-4.612;6;1;9;5;-117.619;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;118.7873;111.2014;-7.58589999999998;6;1;9;6;-101.2353;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;355.255;359.703;4.44800000000001;6;1;9;7;123.5323;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;337.363;340.24;2.87700000000004;6;1;9;8;17.892;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;38.88;262.641;-136.239;6;1;9;9;-61.517;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;192.112;200.88;8.76799999999994;6;1;9;10;-153.232;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;231.358;228.593;-2.76499999999996;6;1;9;11;-39.246;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;312.801;302.942;-9.85899999999998;6;1;9;12;-81.443;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;84.8324;93.8876;9.05520000000001;6;1;9;13;-132.0314;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;163.3494;156.1813;-7.16810000000001;6;1;9;14;-78.517;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;278.567;277.059;-1.50799999999998;6;1;9;15;-115.2176;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;151.634;157.3108;5.67680000000001;6;1;9;16;126.933;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;71.905;79.859;7.95400000000001;6;1;9;17;79.729;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;294.607;282.106;-12.501;6;1;9;18;137.298;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;51.817;55.089;3.27199999999999;7;1;9;1;-117.21;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;358.91;358.86;-0.049999999999983;7;1;9;2;52.907;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;173.43599;177.31732;3.88132999999999;7;1;9;3;-174.52599;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;156.3054;159.8822;3.57679999999999;7;1;9;4;17.13059;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;6.91499999999999;12.362;5.44699999999997;7;1;9;5;149.3904;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;206.675;210.576;3.90100000000004;7;1;9;6;160.24;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;113.719;105.0989;-8.62009999999998;7;1;9;7;92.956;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;324.819;314.033;-10.786;7;1;9;8;148.9;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;60.79;40.925;-19.865;7;1;9;9;-95.9710000000001;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;26.691;199.223;172.532;7;1;9;10;34.099;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;199.044;203.049;4.00499999999997;7;1;9;11;-172.353;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;284.368;279.898;-4.46999999999997;7;1;9;12;-85.324;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;241.162;267.584;26.422;7;1;9;13;43.206;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;239.243;249.271;10.028;7;1;9;14;1.91900000000001;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;311.358;318.731;7.37299999999996;7;1;9;15;-72.115;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;89.6202;93.3438;3.7236;7;1;9;16;-138.2622;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;267.895;270.44;2.54500000000002;7;1;9;17;-178.2748;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;131.6012;126.5717;-5.02949999999999;7;1;9;18;136.2938;Chetverikov & Jehee (2023);Experiment 1;Motion;1
