obs;theta;resp;error;rt;block;delta;trial;study;experiment;stimulus;expnum
1;158;164;6;1.03350779996254;4;55;100;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;3;2;-1;1.29204820003361;4;-25;101;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;10;11;1;1.26708230003715;4;-7;102;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;8;6;-2;1.25001740013249;4;2;103;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;91;176;85;1.08251650002785;4;-83;104;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;87;92;5;1.34153410000727;4;4;105;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;139;136;-3;1.19147050008178;4;-52;106;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;6;10;4;1.51690669986419;4;-47;107;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;165;175;10;1.00851909979247;4;21;108;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;19;7;-12;1.61737339990214;4;-34;109;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;53;32;-21;1.19929979997687;4;-34;110;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;16;15;-1;1.9501414000988;4;37;111;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;167;15;28;1.31655200012028;4;29;112;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;46;48;2;1.87420809990726;4;-59;113;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;46;48;2;1.15710240020417;4;0;114;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;122;107;-15;1.83311960007995;4;-76;115;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;42;52;10;1.65856459992938;4;80;116;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;22;40;18;0.807356999954209;4;20;117;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;128;158;30;0.71705439989455;4;74;118;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;95;94;-1;1.61693570017815;4;33;119;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;56;66;10;1.21661560004577;4;39;120;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;142;146;4;1.05811890005134;5;-86;121;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;12;21;9;1.01563640008681;5;-50;122;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;27;18;-9;1.04039969993755;5;-15;123;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;69;24;-45;1.09189909999259;5;-42;124;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;98;97;-1;1.38225060002878;5;-29;125;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;147;150;3;1.56566799990833;5;-49;126;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;41;41;0;1.56561359995976;5;-74;127;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;93;95;2;1.18365669995546;5;-52;128;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;66;69;3;1.31528860004619;5;27;129;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;175;178;3;1.20804659998976;5;71;130;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;74;70;-4;1.05832240008749;5;-79;131;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;20;36;16;0.99872829997912;5;54;132;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;145;146;1;1.31699929991737;5;55;133;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;131;108;-23;1.55832670000382;5;14;134;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;67;55;-12;1.71473390003666;5;64;135;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;127;120;-7;2.14902290003374;5;-60;136;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;78;68;-10;0.932505700038746;5;49;137;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;133;127;-6;1.6165765998885;5;-55;138;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;107;110;3;1.31660849996842;5;26;139;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;97;108;11;1.56705629988573;5;10;140;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;142;128;-14;1.78359750006348;5;-45;141;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;178;7;9;1.19151519984007;5;-36;142;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;177;176;-1;1.60785509995185;5;1;143;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;142;3;41;1.22401979984716;5;35;144;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;106;171;65;0.983721799915656;5;36;145;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;166;160;-6;1.61571340006776;5;-60;146;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;10;16;6;2.04122440004721;5;-24;147;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;132;146;14;1.56575569999404;5;58;148;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;121;140;19;1.25824270001613;5;11;149;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;89;79;-10;1.42508149985224;5;32;150;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;104;112;8;0.707791700027883;6;-15;151;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;115;130;15;1.09033769997768;6;-11;152;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;145;138;-7;1.27528290008195;6;-30;153;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;141;126;-15;1.44928169995546;6;4;154;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;173;165;-8;1.12444970011711;6;-32;155;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;117;122;5;1.12523410003632;6;56;156;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;137;127;-10;2.03263540007174;6;-20;157;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;14;17;3;1.18369740014896;6;-57;158;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;46;46;0;0.975284100044519;6;-32;159;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;136;140;4;1.1749871999491;6;-90;160;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;57;26;-31;1.24105690000579;6;79;161;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;70;49;-21;0.758199099916965;6;-13;162;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;9;22;13;0.900368199916556;6;61;163;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;91;91;0;2.5664751001168;6;-82;164;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;94;20;-74;0.991882300004363;6;-3;165;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;166;174;8;2.62475589988753;6;-72;166;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;32;30;-2;1.73261389997788;6;-46;167;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;91;90;-1;0.799798900028691;6;-59;168;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;143;148;5;1.71565539995208;6;-52;169;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;128;132;4;1.8903347000014;6;15;170;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;118;125;7;1.00828760000877;6;10;171;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;166;167;1;1.04993270011619;6;-48;172;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;87;94;7;2.20719330012798;6;79;173;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;38;25;-13;0.697704499820247;6;49;174;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;75;81;6;2.04154050000943;6;-37;175;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;20;24;4;1.11542899999768;6;55;176;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;22;20;-2;1.65843229996972;6;-2;177;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;70;75;5;1.78194199991412;6;-48;178;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;170;163;-7;1.67403700016439;6;80;179;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;170;161;-9;1.37484359997325;6;0;180;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;59;50;-9;1.45792439999059;7;-69;181;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;125;128;3;1.24935709987767;7;-66;182;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
