obs;age;delta;resp;error;errorc;rt;rtc;theta;block;stimtype;outliers;stimtype_bk;case;ntrials;study;experiment;stimulus;cond;expnum
2;38;-81;49;-13;-13.9913494809689;0.774704128838493;0.774704128838493;62;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-84;128;-18;-18.9913494809689;0.683077573259652;0.683077573259652;146;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-3;165;16;15.0086505190311;1.22465077316883;1.22465077316883;149;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-18;163;-4;-4.99134948096886;1.62464292452569;1.62464292452569;167;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-87;50;-24;-24.9913494809689;0.758048404986766;0.758048404986766;74;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;69;178;-7;-7.99134948096886;0.983007388291298;0.983007388291298;5;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-26;39;8;7.00865051903114;1.28301538786764;1.28301538786764;31;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;21;5;-5;-5.99134948096886;0.541295176855783;0.541295176855783;10;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-1;47;36;NaN;0.149767785853328;NaN;11;2;2;1;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;16;171;-4;NaN;0.866420943799312;NaN;175;2;2;1;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;38;145;8;7.00865051903114;0.73302059514026;0.73302059514026;137;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-40;5;8;7.00865051903114;1.4996451508232;1.4996451508232;177;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-51;3;-45;-45.9913494809689;0.516382077930757;0.516382077930757;48;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-16;30;-34;-34.9913494809689;1.14129095066528;1.14129095066528;64;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-53;153;36;35.0086505190311;0.808076856315893;0.808076856315893;117;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-79;29;13;12.0086505190311;1.27462790644859;1.27462790644859;16;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;67;136;7;6.00865051903114;1.25795074977214;1.25795074977214;129;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-7;124;-12;-12.9913494809689;0.808043650526088;0.808043650526088;136;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;21;113;-2;-2.99134948096886;0.89131864731462;0.89131864731462;115;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;24;93;2;1.00865051903114;0.758000709396583;0.758000709396583;91;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;32;66;7;6.00865051903114;0.583032745438686;0.583032745438686;59;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-54;115;2;1.00865051903114;0.799741900427762;0.799741900427762;113;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;24;90;1;0.00865051903114189;0.924703751501511;0.924703751501511;89;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-42;138;7;6.00865051903114;0.7830505558195;0.7830505558195;131;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-44;0;5;4.00865051903114;1.81625755620189;1.81625755620189;175;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;32;153;10;9.00865051903114;0.949664847896202;0.949664847896202;143;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;63;95;15;14.0086505190311;0.791447395233263;0.791447395233263;80;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;86;8;14;13.0086505190311;0.899695563253772;0.899695563253772;174;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;34;155;15;14.0086505190311;1.28293297712662;1.28293297712662;140;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-78;23;-15;-15.9913494809689;1.26632283577419;1.26632283577419;38;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;36;2;0;-0.991349480968858;0.99962235957355;0.99962235957355;2;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-51;62;9;8.00865051903114;0.791342646050907;0.791342646050907;53;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-88;138;-3;-3.99134948096886;1.64129381844032;1.64129381844032;141;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;20;124;3;2.00865051903114;0.683056744172063;0.683056744172063;121;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-8;129;0;-0.991349480968858;1.11638419102383;1.11638419102383;129;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;0;147;18;17.0086505190311;1.01635445674401;1.01635445674401;129;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;45;90;6;5.00865051903114;0.566344419537927;0.566344419537927;84;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-46;127;-3;-3.99134948096886;0.916312647634186;0.916312647634186;130;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-22;148;-4;-4.99134948096886;0.649751937631663;0.649751937631663;152;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;68;76;-8;-8.99134948096886;0.808027953240526;0.808027953240526;84;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-37;122;1;0.00865051903114189;0.966348645732069;0.966348645732069;121;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;76;62;17;16.0086505190311;0.808016784019856;0.808016784019856;45;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;24;8;-13;-13.9913494809689;0.624727448361227;0.624727448361227;21;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;58;159;16;15.0086505190311;0.799719863858627;0.799719863858627;143;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-62;47;22;21.0086505190311;0.66638320994025;0.66638320994025;25;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;7;32;14;13.0086505190311;0.824731976423209;0.824731976423209;18;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-30;99;51;NaN;0.0260297191853169;NaN;48;2;2;1;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;63;158;-7;NaN;1.27459168194764;NaN;165;2;2;1;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;72;101;8;7.00865051903114;0.924684431764035;0.924684431764035;93;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-6;99;0;-0.991349480968858;0.649734429123782;0.649734429123782;99;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;11;86;-2;-2.99134948096886;1.06630653474713;1.06630653474713;88;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;15;70;-3;-3.99134948096886;0.799755786487367;0.799755786487367;73;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;15;58;0;-0.991349480968858;0.882988521359948;0.882988521359948;58;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-63;108;-13;-13.9913494809689;0.741329590135138;0.741329590135138;121;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;75;59;13;12.0086505190311;0.72471914691414;0.72471914691414;46;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;2;53;9;8.00865051903114;0.716427056682733;0.716427056682733;44;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-17;65;4;3.00865051903114;0.724682922413194;0.724682922413194;61;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-52;136;23;22.0086505190311;0.841369889891212;0.841369889891212;113;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-27;147;7;6.00865051903114;1.39958794629638;1.39958794629638;140;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-28;169;1;0.00865051903114189;0.908048027653422;0.908048027653422;168;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-26;16;2;1.00865051903114;1.34132385459088;1.34132385459088;14;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;5;0;-9;-9.99134948096886;0.791336004891491;0.791336004891491;9;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;45;132;-12;-12.9913494809689;0.841394341430714;0.841394341430714;144;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;89;57;2;1.00865051903114;0.566407208676537;0.566407208676537;55;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;89;142;-4;-4.99134948096886;0.824707223015139;0.824707223015139;146;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-60;22;-4;-4.99134948096886;0.658065762563638;0.658065762563638;26;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;-46;60;-12;-12.9913494809689;0.699709751181217;0.699709751181217;72;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;74;159;-19;-19.9913494809689;0.616423283296172;0.616423283296172;178;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;33;144;-1;-1.99134948096886;1.42460337944431;1.42460337944431;145;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
2;38;76;69;0;-0.991349480968858;1.2080161802769;1.2080161802769;69;2;2;0;2;NaN;578;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;NaN;121;1;-0.109215017064846;2.75405325859083;2.75405325859083;120;2;2;0;NaN;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;3;120;3;1.89078498293515;4.41590301581346;4.41590301581346;117;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;52;70;5;3.89078498293515;4.5742228782824;4.5742228782824;65;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-8;63;-10;-11.1092150170648;2.09949693679323;2.09949693679323;73;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;40;33;0;-1.10921501706485;2.69112854902573;2.69112854902573;33;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;20;28;15;13.8907849829352;2.99939264136106;2.99939264136106;13;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-9;25;3;1.89078498293515;2.83276144419733;2.83276144419733;22;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;86;112;-4;-5.10921501706485;3.61601832943165;3.61601832943165;116;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;68;58;10;8.89078498293515;3.27435011569082;3.27435011569082;48;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-84;127;-5;-6.10921501706485;1.73292822632857;1.73292822632857;132;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-64;28;12;10.8907849829352;3.51599221783999;3.51599221783999;16;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;23;167;-6;-7.10921501706485;2.04121827932158;2.04121827932158;173;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;85;79;-9;-10.1092150170648;3.07437034085433;3.07437034085433;88;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;20;67;-1;-2.10921501706485;1.99951127552822;1.99951127552822;68;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-74;149;7;5.89078498293515;2.52445207164556;2.52445207164556;142;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-70;26;-6;-7.10921501706485;3.29934298405669;3.29934298405669;32;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;39;161;-12;-13.1092150170648;2.89115813210083;2.89115813210083;173;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-53;46;0;-1.10921501706485;2.47449772919708;2.47449772919708;46;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-88;133;-1;-2.10921501706485;1.64127352118612;1.64127352118612;134;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;20;119;5;3.89078498293515;2.88279668729956;2.88279668729956;114;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;69;46;1;-0.109215017064846;3.68272393708457;3.68272393708457;45;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;86;149;10;8.89078498293515;0.808011881528728;0.808011881528728;139;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;0;139;0;-1.10921501706485;3.70756255084598;3.70756255084598;139;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;77;66;4;2.89078498293515;1.67461425028796;1.67461425028796;62;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;21;43;2;0.890784982935154;2.44946290116377;2.44946290116377;41;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;18;21;-2;-3.10921501706485;4.10760843479875;4.10760843479875;23;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;61;142;0;-1.10921501706485;1.9162005068365;1.9162005068365;142;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;26;121;5;3.89078498293515;1.95790660502553;1.95790660502553;116;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;31;81;-4;-5.10921501706485;3.15775416162887;3.15775416162887;85;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;67;33;15;13.8907849829352;3.32436905791474;3.32436905791474;18;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;11;13;6;4.89078498293515;2.21617318777226;2.21617318777226;7;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;69;128;10;8.89078498293515;3.03272642749653;3.03272642749653;118;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;85;34;1;-0.109215017064846;2.92446022208424;2.92446022208424;33;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;52;155;-6;-7.10921501706485;2.14126582354902;2.14126582354902;161;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;88;60;-13;-14.1092150170648;1.38297011052919;1.38297011052919;73;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-71;150;6;4.89078498293515;1.32460572251375;1.32460572251375;144;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;29;121;6;4.89078498293515;2.29119948803191;2.29119948803191;115;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-4;136;17;15.8907849829352;2.29951384140759;2.29951384140759;119;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;27;99;7;5.89078498293515;2.80775619923861;2.80775619923861;92;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;36;47;-9;-10.1092150170648;2.31615462288391;2.31615462288391;56;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-4;42;-18;-19.1092150170648;1.85787868222451;1.85787868222451;60;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-54;126;12;10.8907849829352;1.58294414987131;1.58294414987131;114;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-82;17;1;-0.109215017064846;2.05790645409115;2.05790645409115;16;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;77;143;24;22.8907849829352;2.63280581880963;2.63280581880963;119;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;89;22;-8;-9.10921501706485;2.5911422840245;2.5911422840245;30;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-89;137;18;16.8907849829352;2.24112470020737;2.24112470020737;119;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-72;18;7;5.89078498293515;2.03288641759536;2.03288641759536;11;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-75;68;-18;-19.1092150170648;2.94939030188334;2.94939030188334;86;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-4;95;5;3.89078498293515;2.2995687814041;2.2995687814041;90;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-50;141;1;-0.109215017064846;2.67450437029584;2.67450437029584;140;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;88;40;-12;-13.1092150170648;2.65780593200998;2.65780593200998;52;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-79;134;3;1.89078498293515;2.95772337108201;2.95772337108201;131;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;46;77;-8;-9.10921501706485;1.83285955133351;1.83285955133351;85;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-64;141;-8;-9.10921501706485;1.98284996702114;1.98284996702114;149;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-9;155;-3;-4.10921501706485;1.80790713329452;1.80790713329452;158;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;61;108;11;9.89078498293515;3.39931385378441;3.39931385378441;97;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-52;151;2;0.890784982935154;1.54123805168274;1.54123805168274;149;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-51;28;8;6.89078498293515;3.09938494372409;3.09938494372409;20;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-24;43;-1;-2.10921501706485;2.15791626480495;2.15791626480495;44;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-67;117;6;4.89078498293515;1.29133200813249;1.29133200813249;111;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-75;9;3;1.89078498293515;3.11609606047023;3.11609606047023;6;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;3;16;13;11.8907849829352;2.56609598500336;2.56609598500336;3;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-59;53;-9;-10.1092150170648;1.9245556124074;1.9245556124074;62;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-77;148;9;7.89078498293515;6.07408205680849;6.07408205680849;139;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-70;33;4;2.89078498293515;3.20769522188084;3.20769522188084;29;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;30;173;-6;-7.10921501706485;2.29115994330959;2.29115994330959;179;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-22;21;0;-1.10921501706485;2.0662199018625;2.0662199018625;21;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;59;147;5;3.89078498293515;3.77431796673727;3.77431796673727;142;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-85;58;11;9.89078498293515;2.00785581571563;2.00785581571563;47;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-42;91;2;0.890784982935154;2.28280574334258;2.28280574334258;89;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;74;24;9;7.89078498293515;1.4996207027184;1.4996207027184;15;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;38;143;-14;-15.1092150170648;2.54114688751315;2.54114688751315;157;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-47;36;12;10.8907849829352;2.17454436782009;2.17454436782009;24;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-11;43;8;6.89078498293515;2.07454663183125;2.07454663183125;35;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;29;17;11;9.89078498293515;1.40795603592869;1.40795603592869;6;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-42;48;0;-1.10921501706485;3.51605983629679;3.51605983629679;48;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-76;132;8;6.89078498293515;4.2825331564386;4.2825331564386;124;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;8;124;8;6.89078498293515;1.59964379562962;1.59964379562962;116;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;42;74;0;-1.10921501706485;3.48268741104312;3.48268741104312;74;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;14;59;-1;-2.10921501706485;2.91606768486781;2.91606768486781;60;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;45;32;17;15.8907849829352;2.44951542621538;2.44951542621538;15;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-2;26;9;7.89078498293515;2.76614247269208;2.76614247269208;17;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;23;167;-7;-8.10921501706485;1.19131434884775;1.19131434884775;174;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;6;166;-2;-3.10921501706485;1.5162892560611;1.5162892560611;168;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;22;158;12;10.8907849829352;4.06593795704703;4.06593795704703;146;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;87;50;-9;-10.1092150170648;1.43296641264442;1.43296641264442;59;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;76;147;-16;-17.1092150170648;2.38283728856049;2.38283728856049;163;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;80;62;-21;-22.1092150170648;1.69128793538812;1.69128793538812;83;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;5;68;-10;-11.1092150170648;1.86624706999237;1.86624706999237;78;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;15;59;-4;-5.10921501706485;2.44947135347093;2.44947135347093;63;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-88;138;-13;-14.1092150170648;2.1412060536627;2.1412060536627;151;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;1;138;-12;-13.1092150170648;1.78287653141479;1.78287653141479;150;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-43;30;17;15.8907849829352;1.21632170688281;1.21632170688281;13;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-61;57;-17;-18.1092150170648;2.49115601902395;2.49115601902395;74;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;4;54;-16;-17.1092150170648;2.81606843953796;2.81606843953796;70;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;83;150;-17;-18.1092150170648;1.42487061178099;1.42487061178099;167;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-56;34;-9;-10.1092150170648;1.81658252093075;1.81658252093075;43;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-79;135;13;11.8907849829352;2.37453802859;2.37453802859;122;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;47;62;-13;-14.1092150170648;1.76628012455058;1.76628012455058;75;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-14;88;-1;-2.10921501706485;1.14135789332295;1.14135789332295;89;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;42;41;-6;-7.10921501706485;3.24934487073233;3.24934487073233;47;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;57;163;-7;-8.10921501706485;2.42447667389615;2.42447667389615;170;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;-26;35;19;17.8907849829352;3.24936117161042;3.24936117161042;16;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;15;1;0;-1.10921501706485;3.10772314468068;3.10772314468068;1;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
3;29;58;139;16;14.8907849829352;1.50791000104164;1.50791000104164;123;2;2;0;2;NaN;586;Ceylan et al. (2021);Experiment 1;Orientation;1;1
