obs;theta;resp;error;rt;block;delta;study;experiment;stimulus;expnum
1;60;54;-6;1.32285404205322;1;-63;Lau & Maus (2019);Experiment 1;Orientation;1
1;77;58;-19;1.20294499397278;1;-17;Lau & Maus (2019);Experiment 1;Orientation;1
1;17;5;-12;1.60289216041565;1;60;Lau & Maus (2019);Experiment 1;Orientation;1
1;21;14;-7;1.3027880191803;1;-4;Lau & Maus (2019);Experiment 1;Orientation;1
1;53;48;-5;0.773046970367432;1;-32;Lau & Maus (2019);Experiment 1;Orientation;1
1;123;129;6;0.782950162887573;1;-70;Lau & Maus (2019);Experiment 1;Orientation;1
1;122;131;9;1.61290693283081;1;1;Lau & Maus (2019);Experiment 1;Orientation;1
1;139;148;9;1.10279893875122;2;NaN;Lau & Maus (2019);Experiment 1;Orientation;1
1;45;28;-17;0.923148155212402;2;-86;Lau & Maus (2019);Experiment 1;Orientation;1
1;33;19;-14;1.25336194038391;2;12;Lau & Maus (2019);Experiment 1;Orientation;1
1;134;143;9;1.60286593437195;2;79;Lau & Maus (2019);Experiment 1;Orientation;1
1;173;171;-2;1.39292097091675;2;-39;Lau & Maus (2019);Experiment 1;Orientation;1
1;76;77;1;1.07305693626404;2;-83;Lau & Maus (2019);Experiment 1;Orientation;1
1;172;171;-1;1.15325689315796;2;84;Lau & Maus (2019);Experiment 1;Orientation;1
1;121;133;12;1.5335841178894;2;51;Lau & Maus (2019);Experiment 1;Orientation;1
1;133;147;14;1.42279100418091;2;-12;Lau & Maus (2019);Experiment 1;Orientation;1
1;47;36;-11;1.37312006950378;2;86;Lau & Maus (2019);Experiment 1;Orientation;1
1;163;171;8;1.96284604072571;2;64;Lau & Maus (2019);Experiment 1;Orientation;1
1;88;95;7;1.87314391136169;2;75;Lau & Maus (2019);Experiment 1;Orientation;1
1;148;155;7;1.45305299758911;2;-60;Lau & Maus (2019);Experiment 1;Orientation;1
1;97;95;-2;0.93299412727356;2;51;Lau & Maus (2019);Experiment 1;Orientation;1
1;150;155;5;1.87277984619141;2;-53;Lau & Maus (2019);Experiment 1;Orientation;1
1;125;143;18;1.66291785240173;2;25;Lau & Maus (2019);Experiment 1;Orientation;1
1;33;25;-8;1.21317005157471;2;-88;Lau & Maus (2019);Experiment 1;Orientation;1
1;28;31;3;1.38269591331482;2;5;Lau & Maus (2019);Experiment 1;Orientation;1
1;174;172;-2;1.28338694572449;2;34;Lau & Maus (2019);Experiment 1;Orientation;1
1;56;65;9;0.673573970794678;2;-62;Lau & Maus (2019);Experiment 1;Orientation;1
1;104;109;5;1.26316404342651;2;-48;Lau & Maus (2019);Experiment 1;Orientation;1
1;114;114;0;0.593171119689941;2;-10;Lau & Maus (2019);Experiment 1;Orientation;1
1;165;167;2;1.40354490280151;2;-51;Lau & Maus (2019);Experiment 1;Orientation;1
1;67;41;-26;2.09290909767151;2;-82;Lau & Maus (2019);Experiment 1;Orientation;1
1;61;54;-7;0.922993183135986;2;6;Lau & Maus (2019);Experiment 1;Orientation;1
1;60;58;-2;0.993221998214722;2;1;Lau & Maus (2019);Experiment 1;Orientation;1
1;61;51;-10;0.972941875457764;2;-1;Lau & Maus (2019);Experiment 1;Orientation;1
1;76;77;1;1.20288491249084;2;-15;Lau & Maus (2019);Experiment 1;Orientation;1
1;155;164;9;1.29322099685669;2;-79;Lau & Maus (2019);Experiment 1;Orientation;1
1;26;18;-8;1.17291283607483;2;-51;Lau & Maus (2019);Experiment 1;Orientation;1
1;102;99;-3;1.71295785903931;2;-76;Lau & Maus (2019);Experiment 1;Orientation;1
