obs;theta;resp;error;delta;block;rt;cond;study;experiment;stimulus;expnum
1;75;72.4285714285714;-2.57142857142857;60;2;4.41680030859425;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;159.857142857143;-5.14285714285714;-90;2;2.85002538840126;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;17;2;-30;2;2.43334938461885;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;83.1428571428571;-6.85714285714286;-75;2;2.96672451402083;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;135;-30;-75;2;4.80012470395741;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;120;61.2857142857143;-58.7142857142857;45;2;3.10004456156457;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;29.4285714285714;14.4285714285714;-75;2;4.45011057711417;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;157.285714285714;-22.7142857142857;15;2;4.76688086438662;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;30;38.5714285714286;8.57142857142857;-30;2;2.6166807364898;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;38.2857142857143;-6.71428571428572;-15;2;2.55001201708183;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;6.14285714285714;6.14285714285714;45;2;2.18336242807163;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;2.14285714285714;2.14285714285714;0;2;2.53331497271392;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;105;141.571428571429;36.5714285714286;75;2;4.36795821077612;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;176.142857142857;-3.85714285714286;-75;2;2.65002094080046;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;58.4285714285714;-16.5714285714286;-75;2;2.26667145639294;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;118.142857142857;-16.8571428571429;-60;2;2.15001680681053;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;175.857142857143;-4.14285714285714;-45;2;2.19998791164289;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;153.285714285714;-11.7142857142857;15;2;3.38337713937472;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;168;3;0;2;3.28339216429231;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;21.7142857142857;6.71428571428572;-30;2;3.43339927760644;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;83.4285714285714;8.42857142857143;-60;2;3.23338028976104;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;73;-2;0;2;3.73334479446385;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;25.1428571428571;10.1428571428571;60;2;2.91670323109793;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;120;144.857142857143;24.8571428571429;75;2;3.2333828556857;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;44.7142857142857;44.7142857142857;NaN;3;2.7333599049125;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;153;18;45;3;3.28339473021697;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;150;138.428571428571;-11.5714285714286;-15;3;3.28337505812488;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;94.7142857142857;4.71428571428572;60;3;2.95002404841944;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;16.8571428571429;1.85714285714286;75;3;2.21666499881576;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;150;140;-10;45;3;1.31660749358525;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;1.71428571428571;1.71428571428571;-30;3;1.69995925881267;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;17.7142857142857;2.71428571428572;-15;3;2.18332251368338;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;11.2857142857143;-3.71428571428571;0;3;3.68340818706929;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;83;-7;-75;3;3.93341937735204;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;78.8571428571429;3.85714285714286;15;3;2.43335850790754;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;48.8571428571429;-11.1428571428571;15;3;2.48334443808744;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;11.4285714285714;-3.57142857142857;45;3;2.19999161797932;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;32.8571428571429;-12.1428571428571;-30;3;2.51666953194945;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;43;-17;-15;3;2.90003726293435;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;15.5714285714286;0.571428571428569;45;3;5.41683480603206;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;150;155.571428571429;5.57142857142856;45;3;2.91673088606876;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;151;-14;-15;3;3.21671346628682;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;45.5714285714286;0.571428571428569;-60;3;2.18334560700714;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;91;1;-45;3;3.35005689225909;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;42.1428571428571;-17.8571428571429;30;3;3.51671087185423;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;85.7142857142857;10.7142857142857;-15;3;1.78331475888808;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;150;143.571428571429;-6.42857142857144;-75;3;2.15002593009922;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;141.857142857143;-23.1428571428571;-15;3;1.74996115474642;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;120;113.428571428571;-6.57142857142856;45;3;4.61678308838782;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;30;18;-12;90;3;1.38329274895295;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;10.5714285714286;10.5714285714286;30;3;3.11671167014174;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;155.857142857143;-9.14285714285714;15;3;3.16670415768203;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;120;127;7;45;3;3.21671489180153;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;119.714285714286;-15.2857142857143;-15;3;5.78349950548909;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;125.571428571429;-9.42857142857144;0;3;2.36667610356926;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;120;116.714285714286;-3.28571428571428;15;3;1.76666475647653;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;42.8571428571429;-2.14285714285714;75;3;2.16666082206029;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;144.571428571429;-20.4285714285714;60;3;3.34993258744726;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;179.142857142857;-0.857142857142861;-15;3;3.25004996426287;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;16.1428571428571;1.14285714285714;-15;3;2.23333410310988;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;70.4285714285714;-4.57142857142857;-60;3;3.25005338549636;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;120;123.428571428571;3.42857142857144;-45;3;2.33336098830296;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;105;132.714285714286;27.7142857142857;15;3;3.35007228781069;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;30;50;20;75;3;2.61667417912577;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;50.2857142857143;-24.7142857142857;-45;3;2.51668378708928;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;3.85714285714286;3.85714285714286;75;3;2.36667752908215;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;105;104.428571428571;-0.571428571428555;75;3;3.78343108082117;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;76.5714285714286;1.57142857142857;30;3;3.2167160322133;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;150;135;-15;-75;3;2.14995978625302;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;80.5714285714286;-9.42857142857143;60;3;5.45016417643637;1;Cicchini et al. (2018);Experiment 2;Orientation;1
