obs;theta;resp;cond;rt;delta;error;study;experiment;stimulus;expnum
1;154;141.75;4;9;-53;-12.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;63;45;4;9;-89;-18;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;81;80.25;0.5;9;-18;-0.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;10;9;0.5;9;71;-1;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;32;34.5;4;9;-22;2.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;120;130.5;4;9;-88;10.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;60;35.75;0.5;9;60;-24.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;162;152;4;9;78;-10;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;22;41;0.5;9;-40;19;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;178;14;0.5;9;24;16;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;98;106.25;4;9;80;8.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;128;135.5;4;9;-30;7.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;180;171.75;0.5;9;-52;-8.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;52;39;0.5;9;-52;-13;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;75;73.5;0.5;9;-23;-1.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;84;78;0.5;9;-9;-6;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;138;150;0.5;9;-54;12;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;148;141.75;0.5;9;-10;-6.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;19;20;4;9;-51;1;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;33;29.25;4;9;-14;-3.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;65;60;0.5;9;-32;-5;Gallagher & Benton (2022);Experiment 1;Orientation;1
