true_sid,run,trial,mdir,resp,err
P02,12,3,120.54,124.474,3.94
P02,12,4,66,65.274,-0.716000000000008
P02,12,5,311.4,318.94,7.56
P02,12,6,204,192.158,-11.842
P02,12,7,226,220.72,-5.28
P02,12,8,346.2,346.18,0.0600000000000023
P02,12,9,101.82,103.586,1.768
P02,12,10,57.38,66.008,8.62199999999999
P02,12,11,285,290.48,5.58000000000004
P02,12,12,176.12,173.992,-2.12400000000002
P02,12,13,192.76,189.93,-2.822
P02,12,14,324.8,334.02,9.27999999999997
P02,12,15,150.82,149.98,-0.838000000000022
P02,12,16,264.4,262.4,-1.92000000000002
P02,12,17,94.84,97.566,2.732
P02,12,18,0.4172,2.3198,1.9025
P02,13,1,181.56,181.004,-0.550000000000011
P02,13,2,168.74,165.912,-2.822
P02,13,3,225.6,229.18,3.66
P02,13,4,1.404,0.33498,-1.06898000000001
P02,13,5,248.6,257.4,8.83999999999998
P02,13,6,92.4,91.216,-1.18000000000001
P02,13,7,205,206.08,1
P02,13,8,105.3,100.712,-4.596
P02,13,9,135.9,138.706,2.79999999999998
P02,13,10,278.8,274.46,-4.38
P02,13,11,298.6,299.04,0.420000000000016
P02,13,12,79.72,72.054,-7.66800000000001
P02,13,13,42.32,37.154,-5.17400000000001
P02,13,14,159.62,161.712,2.084
P02,13,15,336.4,336.76,0.379999999999995
P02,13,16,348,347.56,-0.420000000000016
P02,13,17,38.88,43.66,4.774
P02,13,18,310.2,301.62,-8.60000000000002
P02,14,1,339.2,333.1,-6.15999999999997
P02,14,2,82.7,77.19,-5.5
P02,14,3,70.34,71.106,0.762000000000001
P02,14,4,206.8,206.52,-0.340000000000003
P02,14,5,238,236.26,-1.82000000000002
P02,14,6,170.9,152.124,-18.766
P02,14,7,254.2,255.12,0.900000000000006
P02,14,8,293.6,287.88,-5.63999999999999
P02,14,9,302.8,312.24,9.5
P02,14,10,180.16,178.198,-1.95999999999998
P02,14,11,269,267.1,-1.83999999999998
P02,14,12,104.18,96.262,-7.92400000000001
P02,14,13,146.24,140.474,-5.76600000000002
P02,14,14,52.34,52.576,0.230000000000018
P02,14,15,23.52,21.946,-1.56799999999998
P02,14,16,121.12,118.558,-2.572
P02,14,17,11.83,5.731,-6.09979999999999
P02,14,18,344.2,344.06,-0.0400000000000205
P02,15,1,221.6,218.94,-2.62
P02,15,2,190.58,186.924,-3.66399999999999
P02,15,3,219.4,226.58,7.10000000000002
P02,15,4,317.6,320.98,3.36000000000001
P02,15,5,171.98,159.33,-12.656
P02,15,6,321.6,330.5,8.92000000000002
P02,15,7,41.1,45.57,4.47399999999999
P02,15,8,71.28,69.536,-1.73399999999998
P02,15,9,124.04,124.576,0.541999999999973
P02,15,10,100.52,102.712,2.18600000000001
P02,15,11,142.7,150.928,8.22399999999999
P02,15,12,299.8,303.52,3.75999999999999
P02,15,13,349.4,346.48,-3.01999999999998
P02,15,14,13.922,12.6204,-1.30080000000001
P02,15,15,256,257.12,1.07999999999998
P02,15,16,87.56,75.79,-11.768
P02,15,17,31.44,34.998,3.55599999999998
P02,15,18,275.2,277.88,2.65999999999997
P02,16,1,145.88,155.764,9.88200000000001
P02,16,2,129.54,133.55,4.00200000000001
P02,16,3,177.76,178.734,0.978000000000009
P02,16,4,116.34,104.798,-11.542
P02,16,5,32.38,32.474,0.0900000000000034
P02,16,6,284.8,289.24,4.51999999999998
P02,16,7,241,239.72,-1.24000000000001
P02,16,8,239.4,238.08,-1.38
P02,16,9,270.6,273.94,3.33999999999998
P02,16,10,183.04,179.08,-3.952
P02,16,11,96.7,92.918,-3.78199999999998
P02,16,12,349.2,341.2,-8.06
P02,16,13,322.8,329.2,6.38
P02,16,14,2.514,1.77332,-0.741279999999989
P02,16,15,63.7,61.976,-1.73000000000002
P02,16,16,302.8,291.74,-11.02
P02,16,17,45.72,47.734,2.00400000000002
P02,16,18,214.2,225.68,11.4
P02,17,1,254.4,252.66,-1.78
P02,17,2,138.52,138.472,-0.0379999999999825
P02,17,3,152.94,152.084,-0.849999999999994
P02,17,4,235.8,240.78,5.02000000000001
P02,17,5,83,69.118,-13.876
P02,17,6,108.9,102.396,-6.50799999999998
P02,17,7,70.82,68.62,-2.19999999999999
P02,17,8,34.08,24.846,-9.226
P02,17,9,265.6,265.4,-0.220000000000027
P02,17,10,214.4,205.68,-8.79999999999998
P02,17,11,287,289.38,2.39999999999998
P02,17,12,329.6,329.62,-0.0199999999999818
P02,17,13,193.28,192.676,-0.600000000000023
P02,17,14,0.8082,0.62464,-0.183539999999994
