Orientation,Phase,DotCoherence,DotRandomWalk,DotSpeed,MatchOri,MatchStart,MatchEnd,Response,trialN,V11,mod_date,situation,fname,folder,dotCoherenceConditions.1,dotCoherenceConditions.2,dotCoherenceConditions.3,dotCoherenceConditionsMain,dotCoherenceConditionsTraining.1,dotCoherenceConditionsTraining.2,dotCoherenceConditionsTraining.3,dotSpeedConditions,dotType,dotOrtGabor,dotsDirSD,dotContr,dotRandomWalkConditions,dotDensity,dotLifeLimit,dotLifeSD,dotLifeRange,dotUseRange,dotContrTextures,dotCounterBalanceSNTextures,dotSD,dotSize,dotSF,dotRandomColors,dotN,dotSpeed,dotRandomWalk,dotCoherence,dotSpeedPix,dotCoherenceConditions,dotCoherenceConditionsTraining,exp_date,subject_id,run,Orientation_sin,Orientation_cos,Response_sin,Response_cos,MatchOri_sin,MatchOri_cos,error,abs_error,prevAbsError,prevOri,prevDotSpeed,DotSpeedf,prevDotSpeedf,ori_shift,ori_response_shift,totN,DotRandomWalkf,DotCoherencef,prevCoherencef,prevCoherence,dir_error,n_speeds,blunt_error,dist_to_nearest_cardinal,resp_dist_to_nearest_cardinal,OrientationG,Ori_2_Card,OrientationG_180,Ori_2_Card_180,error_180,abs_error_180,response_plus_180,Ori_recoded,Response_recoded,ori_stocker,speed_diff,coh_diff,prevOri_recoded
-102.508,,0.18,0,7,-126.566,0.434244,1.3175,-103.134,3,,2019-06-03T11:56:16Z,BLab2,d030619P04_run002.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,2,0.976265776932175,-0.216575928466245,0.973841298206767,-0.227229236470483,0.803171140782304,-0.595748368536962,-0.626000000000005,0.626000000000005,1.16600000000005,20.561,7,7,7,-123.069,-121.903,18,Fixed,0.18,0.18,0.18,0.626000000000005,1,FALSE,-12.508,-13.134,-90,-12.508,90,-12.508,-0.626000000000005,-0.626000000000005,76.866,-102.508,-103.134,0.216575928466245,7->7,0.18->0.18,20.561
-98.4935,,0.18,0,7,-81.3893,0.424798,1.3333,-99.3909,4,,2019-06-03T11:56:16Z,BLab2,d030619P04_run002.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,2,0.989032625443304,-0.147697209888086,0.986598089403273,-0.163169267896292,0.988728438045633,0.149719991316603,-0.897400000000005,0.897400000000005,0.626000000000005,-102.508,7,7,7,4.0145,4.64049999999998,18,Fixed,0.18,0.18,0.18,-0.897400000000005,1,FALSE,-8.4935,-9.39090000000002,-90,-8.49349999999998,90,-8.49349999999998,-0.897400000000019,-0.897400000000019,80.6091,-98.4935,-99.3909,0.147697209888086,7->7,0.18->0.18,-102.508
-73.471,,0.18,0,7,42.578,0.437338,3.81599,-73.0302,5,,2019-06-03T11:56:16Z,BLab2,d030619P04_run002.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,2,0.958675858973709,0.284500610581105,0.956458729150435,0.291867605999596,-0.676593278800798,0.736356934564743,0.440800000000024,0.440800000000024,0.897400000000005,-98.4935,7,7,7,25.0225,25.9199,18,Fixed,0.18,0.18,0.18,0.440800000000024,1,FALSE,16.529,16.9698,-90,16.529,90,16.529,0.44080000000001,0.44080000000001,106.9698,-73.471,-73.0302,0.284500610581105,7->7,0.18->0.18,-98.4935
-169.111,,0.18,0,7,-119.45,0.331818,0.848298,-170.916,6,,2019-06-03T11:56:16Z,BLab2,d030619P04_run002.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,2,0.188906916966936,-0.981994998318244,0.157882323139202,-0.987457934314251,0.870785085100406,-0.491663844071007,-1.80499999999998,1.80499999999998,0.440800000000024,-73.471,7,7,7,-95.64,-96.0808,18,Fixed,0.18,0.18,0.18,1.80499999999998,1,FALSE,10.889,9.08400000000003,-180,10.889,0,10.889,-1.80499999999998,-1.80499999999998,9.08400000000003,-169.111,-170.916,0.981994998318244,7->7,0.18->0.18,-73.471
83.622,,0.18,0,7,-27.8009,0.51429,0.966375,12.306,7,,2019-06-03T11:56:16Z,BLab2,d030619P04_run002.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,2,-0.993810646898918,0.111087344510319,-0.213132701080015,0.977023260588169,0.466400535247819,0.884573649121738,-71.3160000000001,71.3160000000001,1.80499999999998,-169.111,7,7,7,-107.267,-105.462,18,Fixed,0.18,0.18,0.18,71.3160000000001,1,FALSE,-6.37799999999999,12.306,90,-6.37799999999999,90,-6.37799999999997,-71.3160000000001,-71.3160000000001,192.306,83.622,12.306,0.111087344510319,7->7,0.18->0.18,-169.111
72.044,,0.18,0,7,-59.1572,0.480019,2.35429,63.966,8,,2019-06-03T11:56:16Z,BLab2,d030619P04_run002.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,2,-0.951293543849973,0.308286544353399,-0.898533753389643,0.438904424698043,0.858577160820919,0.512684365781413,-8.078,8.078,71.3160000000001,83.622,7,7,7,-11.578,59.7380000000001,18,Fixed,0.18,0.18,0.18,8.078,1,FALSE,-17.956,-26.034,90,-17.956,90,-17.956,-8.078,-8.078,243.966,72.044,63.966,0.308286544353398,7->7,0.18->0.18,83.622
-139.259,,0.18,0,7,53.032,0.445826,1.44588,-125.519,9,,2019-06-03T11:56:16Z,BLab2,d030619P04_run002.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,2,0.652640746380634,-0.757667510299689,0.813922905204463,-0.580972894706394,-0.798971502387881,0.601368887100132,13.74,13.74,8.078,72.044,7,7,7,148.697,156.775,18,Fixed,0.18,0.18,0.18,13.74,1,FALSE,40.741,-35.519,-180,40.741,0,40.741,13.74,13.74,54.481,-139.259,-125.519,0.757667510299689,7->7,0.18->0.18,72.044
42.969,,0.18,0,7,-68.7343,0.467038,2.96307,44.454,10,,2019-06-03T11:56:16Z,BLab2,d030619P04_run002.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,2,-0.681602559825827,0.731722591177066,-0.70033640430714,0.713812945246965,0.931908520221558,0.362693410387433,1.48500000000001,1.48500000000001,13.74,-139.259,7,7,7,-177.772,168.488,18,Fixed,0.18,0.18,0.18,-1.48500000000001,1,FALSE,42.969,44.454,0,42.969,0,42.969,1.48500000000003,1.48500000000003,224.454,42.969,44.454,0.731722591177066,7->7,0.18->0.18,-139.259
153.193,,0.18,0,7,-93.4663,0.410548,3.47922,151.116,11,,2019-06-03T11:56:16Z,BLab2,d030619P04_run002.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,2,-0.450986587253923,-0.892530726707523,-0.483037888598813,-0.875599450763876,0.998170533050178,-0.0604614501176097,-2.07699999999997,2.07699999999997,1.48500000000001,42.969,7,7,7,110.224,108.739,18,Fixed,0.18,0.18,0.18,-2.07699999999997,1,FALSE,-26.807,-28.884,-180,-26.807,0,-26.807,-2.07699999999997,-2.07699999999997,331.116,-206.807,-208.884,0.892530726707523,7->7,0.18->0.18,42.969
132.253,,0.18,0,7,-1.98246,0.547641,3.62602,132.676,12,,2019-06-03T11:56:16Z,BLab2,d030619P04_run002.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,2,-0.740182921428461,-0.672405564243507,-0.735198597525973,-0.677851770076498,0.0345935508077406,0.999401463998584,0.423000000000002,0.423000000000002,2.07699999999997,153.193,7,7,7,-20.94,-18.863,18,Fixed,0.18,0.18,0.18,-0.423000000000002,1,FALSE,42.253,42.676,90,42.253,90,42.253,0.423000000000002,0.423000000000002,312.676,132.253,132.676,0.672405564243507,7->7,0.18->0.18,-206.807
