delta;theta;resp;error;rt;obs;block;range;mindelta;study;experiment;stimulus
-80;278.859922318917;283.372156439841;4.51223412092423;1.63645189200179;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-130;48.8599223189171;45.8329947939423;-3.02692752497483;1.44158785699983;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-140;188.859922318917;194.131743685576;5.27182136665877;1.61723156100197;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-60;248.859922318917;260.371450470869;11.5115281519523;3.82325462399967;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-180;68.8599223189171;73.6956163832613;4.83569406434421;1.558784259003;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
130;298.859922318917;309.819717879032;10.9597955601147;1.84230533099981;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-90;28.8599223189171;27.8605187586248;-0.999403560292301;1.18369840000014;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
170;218.859922318917;223.361717000413;4.50179468149543;1.78364057599902;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
0;218.859922318917;218.38119001352;-0.478732305397216;1.35046673800025;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-10;228.859922318917;224.468688588953;-4.3912337299636;1.88398261000111;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
60;168.859922318917;182.260825519016;13.4009032000992;1.74539260000165;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
130;38.8599223189171;41.0677571878875;2.20783486897042;1.69493751399932;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
120;278.859922318917;278.801694941363;-0.0582273775539193;0.987810555001488;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-130;48.8599223189171;60.5571245338282;11.6972022149112;1.30482175200086;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-170;218.859922318917;232.388897359537;13.5289750406195;1.47573390600155;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
170;48.8599223189171;48.6224537631468;-0.237468555770334;1.40105763899919;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
150;258.859922318917;258.782067867427;-0.0778544514895998;1.01691260299776;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-110;8.85992231891709;4.09217231770164;-4.76775000121544;1.32525271800114;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
10;358.859922318917;0.265193680358139;1.40527136144107;1.45085776199994;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-30;28.8599223189171;18.6525137040329;-10.2074086148842;1.81675417099905;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
10;18.8599223189171;13.515866414243;-5.34405590467413;1.3196356160006;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
30;348.859922318917;320.301653885376;-28.5582684335413;1.14148560600006;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
70;278.859922318917;276.174611048367;-2.68531127055007;2.45093686200198;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
