delta;theta;resp;error;rt;obs;block;cond;study;experiment;stimulus;expnum;stimtype;studynum;code;obsid;outliers_q;outliers_sd;outliers_rt;error_iqr;errorsd;theta_cent;stim_bias_peak;error_ori_deb;error_ori_deb_sd_deb;sd_bias_peak;error_norm;error_iqr_norm;error_ori_deb_norm;error_ori_deb_sd_deb_norm;bin;codenum
76;99;138.5;39.5;1.86632561683655;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;39.5;39.5;9;17.2149689623588;22.5232766176524;22.8286802160306;10.5089789300228;2.08916193226079;2.74188185834211;1.80206360240792;1.91469873377587;NaN;1
29;9;32.5;23.5;2.14129376411438;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;23.5;23.5;-81;17.2149689623588;12.8957887650371;11.8486288924237;10.5089789300228;1.23536338489923;1.62790127576305;1.03177845534255;0.984171639539537;NaN;1
-19;37;42;5;2.19128847122192;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;5;5;-53;17.2149689623588;-0.229632780146284;1.76223618152556;10.5089789300228;0.248158814512442;0.339861227156023;-0.0183726765002316;0.12937948748287;NaN;1
82;134;2.5;48.5;2.36657571792603;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;1;0;0;NaN;48.5;44;17.2149689623588;NaN;NaN;10.5089789300228;2.56942361515166;NaN;NaN;NaN;3;1
62;49;60;11;1.54131293296814;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;11;11;-41;17.2149689623588;16.1490645922065;15.6243596109704;10.5089789300228;0.568333269773023;0.757603945623168;1.29206962239862;1.30415372619831;NaN;1
16;30;56;26;2.774822473526;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;26;26;-60;17.2149689623588;20.0321999141655;21.8578264786016;10.5089789300228;1.36876940792448;1.80196074179103;1.60275518319498;1.83242173154766;NaN;1
-65;122;128;6.00000000000001;3.8748574256897;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;6.00000000000001;6.00000000000001;32;17.2149689623588;7.87475781019511;12.7973332818962;10.5089789300228;0.301521223722539;0.409485013567214;0.630051065323603;1.06457154959525;NaN;1
-36;100;116;16;2.31655955314636;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;16;16;10;17.2149689623588;-1.21496896235874;1.94592984405607;10.5089789300228;0.835145315823509;1.10572287767912;-0.0972083850094016;0.144946985756457;NaN;1
72;75;58;-17;2.44952893257141;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-17;-17;-15;17.2149689623588;-6.93037680931234;-4.59201479407836;10.5089789300228;-0.92581418810969;-1.19186207389018;-0.554492137669063;-0.409124616196927;NaN;1
-68;4;151.5;-32.5;2.63307881355286;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-32.5;-32.5;-86;17.2149689623588;-35.9434712841114;-29.8651952930791;10.5089789300228;-1.75293153086619;-2.27103076326364;-2.87579922072824;-2.5509524199781;NaN;1
14;142;142;0;1.85813045501709;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;0;0;52;17.2149689623588;2.74416074257742;4.09904307051226;10.5089789300228;-0.0186532315380427;-0.00825770489993199;0.219557406202601;0.327417006626809;NaN;1
-85;80;56;-24;1.57481646537781;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-24;-24;-10;17.2149689623588;-12.7322223626247;-12.5567278557251;10.5089789300228;-1.29935105258037;-1.67922857876851;-1.01869168003148;-1.08411065071081;3;1
-54;134;121;-13;1.7664155960083;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-13;-13;44;17.2149689623588;-12.3319994547909;-9.48062112559251;10.5089789300228;-0.712364551269303;-0.913366928245414;-0.986670267370243;-0.823419641826632;NaN;1
-32;48;51.5;3.5;2.27477645874023;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;3.5;3.5;-42;17.2149689623588;7.72169376435432;10.3565710980262;10.5089789300228;0.168115200697297;0.235425547539236;0.617804572482912;0.857724124593197;NaN;1
-33;177;165;-12;2.61652660369873;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-12;-12;87;17.2149689623588;-3.84427430947087;-1.09416692626037;10.5089789300228;-0.659002142059207;-0.843743141834224;-0.307576332181607;-0.112692284817602;NaN;1
-10;30;30;-2.75444115227293e-15;2.15800452232361;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-2.75444115227293e-15;-2.75444115227293e-15;-60;17.2149689623588;-5.96780008583453;-6.17822766849588;10.5089789300228;-0.0186532315380429;-0.00825770489993219;-0.477477389444333;-0.543551497581223;1;1
-21;109;110;1;3.67488169670105;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;1;1;19;17.2149689623588;-6.83826466845769;-4.68279991197537;10.5089789300228;0.0347091776720543;0.0613660815112591;-0.54712234244824;-0.416818388244693;NaN;1
37;151;143;-7.99999999999998;1.53314828872681;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-7.99999999999998;-7.99999999999998;61;17.2149689623588;-8.92869432897897;-15.4820042441705;10.5089789300228;-0.445552505218817;-0.565247996189458;-0.714375414395459;-1.33201923122226;NaN;1
-1;155;157;2;3.21167373657227;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;2;2;65;17.2149689623588;-0.312207856056914;-2.71375067447399;10.5089789300228;0.0880715868821514;0.13098986792245;-0.0249794212155183;-0.249947249724501;1;1
-62;71;39.5;-31.5;2.7577965259552;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-31.5;-31.5;-19;17.2149689623588;-23.9577125066381;-20.1382661733527;10.5089789300228;-1.6995691216561;-2.20140697685245;-1.91683130470141;-1.72662375129857;NaN;1
85;28;25;-3;2.08319664001465;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-3;-3;-62;17.2149689623588;-9.0870133223476;-13.4579197005451;10.5089789300228;-0.178740459168333;-0.217129064133505;-0.727042350044416;-1.16048401218198;3;1
-33;9;28.5;19.5;2.15797972679138;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;19.5;19.5;-81;17.2149689623588;8.89578876503711;11.6458961482476;10.5089789300228;1.02191374805885;1.34940613011829;0.711742674936501;0.966990635026456;NaN;1
-75;173;142.5;-30.5;1.47483921051025;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-30.5;-30.5;83;17.2149689623588;-19.6766374031106;-12.8664663990338;10.5089789300228;-1.646206712446;-2.13178319044126;-1.57430700176784;-1.11036008235584;NaN;1
-19;108;121;13;2.4998254776001;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;13;13;18;17.2149689623588;3.5453964402345;5.53726540190635;10.5089789300228;0.675058088193218;0.896851518445551;0.283663429149818;0.449302124232828;NaN;1
-82;129;147;18;2.24154448509216;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;18;18;39;17.2149689623588;18.0270214517808;20.8063776333516;10.5089789300228;0.941870134243702;1.2449704505015;1.4423229696793;1.74331453069103;3;1
-61;29;44.5;15.5;1.63301277160645;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;15.5;15.5;-61;17.2149689623588;9.4978916496038;13.0174830731665;10.5089789300228;0.808464111218459;1.07091098447353;0.759916291573259;1.08322859768454;NaN;1
14;109;130;21;1.88308668136597;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;21;21;19;17.2149689623588;13.1617353315423;14.5166176594771;10.5089789300228;1.10195736187399;1.45384180973508;1.053056559582;1.21027584995646;NaN;1
-70;179;167.5;-11.5;1.88320183753967;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-11.5;-11.5;89;17.2149689623588;-6.10649188231035;0.576315020341443;10.5089789300228;-0.632320937454157;-0.808931248628627;-0.488573973774597;0.0288761528821056;NaN;1
-5;88;88.5;0.500000000000007;2.10814523696899;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;0.500000000000007;0.500000000000007;-2;17.2149689623588;1.89178550107771;0.11986948780603;10.5089789300228;0.00802797306700611;0.026554188305664;0.151359762299563;-0.00980626512755908;1;1
46;166;160;-6.00000000000001;2.13309669494629;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-6.00000000000001;-6.00000000000001;76;17.2149689623588;0.173160872935926;-10.3358180570869;10.5089789300228;-0.338827686798625;-0.426000423367078;0.0138544187764604;-0.895895069509959;2;1
20;158;145;-13;2.18300676345825;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-13;-13;68;17.2149689623588;-14.7681925866404;-12.6708724280549;10.5089789300228;-0.712364551269302;-0.913366928245413;-1.18158750991306;-1.09378406790008;NaN;1
-60;117;134;17;3.78314733505249;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;17;17;27;17.2149689623588;18.5211296667528;21.7884585820279;10.5089789300228;0.888507725033605;1.17534666409031;1.48185604672521;1.82654300609095;NaN;1
