subject,session,block,section,trial,isi_raw_sec,orientation,contrast_db,contrast,response,rt,target_on,mask_on,isi_on,target_onset,mask_onset,isi_onset,target_fliptime,mask_fliptime,isi_fliptime,target_missed,mask_missed,isi_missed,target_beam,mask_beam,isi_beam,seed,date,isi_sec
13,1,1,1,14,0.38,137,-20,0.1,-44.3259631020155,0.947305986075662,945126.480156321,945126.680281951,945127.440776548,945126.480156321,945126.680281951,945127.440776548,945126.480217899,945126.680333869,945127.440835106,0.000353408395312727,-5.80896157771349e-05,0.750011160387658,0,0,0,12312019,20-Feb-2020 14:21:24,0.375007887303946
13,1,1,1,15,0.42,49,-20,0.1,-128.732518595151,0.998354019597173,945127.861038558,945128.061141549,945128.871704983,945127.861038558,945128.061141549,945128.871704983,945127.861099532,945128.061193165,945128.871774106,0.000425332924351096,-8.07283213362098e-05,0.800079997046851,0,0,0,12312019,20-Feb-2020 14:21:24,0.415007887303946
13,1,1,1,16,0.36,163,-20,0.1,-26.9958383940866,0.975402054842561,945129.231925984,945129.432022938,945130.222556905,945129.231925984,945129.432022938,945130.222556905,945129.232012011,945129.432077271,945130.222619992,0.00028967612888664,-8.67652706801891e-05,0.78005053056404,0,0,0,12312019,20-Feb-2020 14:21:24,0.355007887303946
13,1,1,1,17,0.38,31,-20,0.1,44.3179396068273,1.23248410236556,945130.602769038,945130.802885914,945131.843566957,945130.602769038,945130.802885914,945131.843566957,945130.602836954,945130.802939945,945131.843630345,0.000312356976792216,-6.68432330712676e-05,1.03019760630559,0,0,0,12312019,20-Feb-2020 14:21:24,0.375007887303946
13,1,1,1,18,0.32,84,-20,0.1,-100.091057238889,1.23541686346289,945132.163769172,945132.36388816,945133.414584842,945132.163769172,945132.36388816,945133.414584842,945132.163837389,945132.363942795,945133.414647325,0.000207790639251471,-6.47304113954306e-05,1.04021324508358,0,0,0,12312019,20-Feb-2020 14:21:24,0.315007887303946
13,1,1,1,19,0.44,47,-20,0.1,51.1155035662854,0.908239229465835,945133.854859416,945134.054965727,945134.775441537,945133.854859416,945134.054965727,945134.775441537,945133.854921596,945134.055020965,945134.77549919,0.00046944513451308,-7.74080399423838e-05,0.709992373362184,0,0,0,12312019,20-Feb-2020 14:21:24,0.435007887303946
13,1,1,1,20,0.34,164,-20,0.1,-15.8801387770753,1.7693475150736,945135.115651182,945135.315791301,945136.896841426,945135.115651182,945135.315791301,945136.896841426,945135.115711854,945135.315846539,945136.896905418,0.000246771378442645,-4.36009140685201e-05,1.57056668866426,0,0,0,12312019,20-Feb-2020 14:21:24,0.335007887303946
13,1,1,1,21,0.5,40,-20,0.1,-128.211025425561,1.3937956225127,945137.397104185,945137.597228305,945138.79801287,945137.397104185,945137.597228305,945138.79801287,945137.39716546,945137.597280223,945138.798082295,0.000552278477698565,-5.95989404246211e-05,1.19030112831388,0,0,0,12312019,20-Feb-2020 14:21:24,0.495007887303946
13,1,1,1,22,0.38,168,-20,0.1,-4.80348575906908,1.04648468620144,945139.17827179,945139.378372064,945140.238934305,945139.17827179,945139.378372064,945140.238934305,945139.178352384,945139.378426095,945140.238994675,0.000359143479727209,-8.34449892863631e-05,0.850078804767691,0,0,0,12312019,20-Feb-2020 14:21:24,0.375007887303946
13,1,1,1,23,0.34,3,-20,0.1,11.5921754102911,1.04759337613359,945140.579141235,945140.779258412,945141.639842085,945140.579141235,945140.779258412,945141.639842085,945140.57920251,945140.779311236,945141.639900945,0.000244054710492492,-6.65413681417704e-05,0.850100235897116,0,0,0,12312019,20-Feb-2020 14:21:24,0.335007887303946
