trial,file,orientation,response,separations,error
44,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-28,-42,15,14
45,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-55,-42,-27,-13
46,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-6,-19,49,13
47,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,36,46,42,-10
48,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,59,60,23,-1
49,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-23,-18,-82,-5
50,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-66,-54,-43,-12
51,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-82,-68,-16,-14
52,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-6,-21,76,15
53,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-78,-73,-72,-5
54,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,51,63,-51,-12
55,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-60,-56,69,-4
56,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,84,68,-36,16
57,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-40,-34,56,-6
58,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-8,-17,32,9
59,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,60,58,68,2
60,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-34,-24,86,-10
61,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,79,73,-67,6
62,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-2,-9,-81,7
63,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-30,-14,-28,-16
64,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-38,-23,-8,-15
65,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-39,-24,-1,-15
66,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,70,74,-71,-4
67,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-77,-69,33,-8
68,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-48,-65,29,17
69,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,17,22,65,-5
70,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-81,-80,82,-1
71,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,59,72,-40,-13
72,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-51,-38,70,-13
73,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-61,-56,-10,-5
74,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,22,21,83,1
75,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-75,-65,83,-10
76,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-54,-62,21,8
77,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-12,-10,42,-2
78,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,89,80,-79,9
79,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,49,68,-40,-19
80,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,69,66,20,3
81,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-54,-61,57,7
82,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,44,52,-82,-8
83,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,60,67,16,-7
84,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,82,70,22,12
85,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-51,-59,47,8
86,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-14,-16,37,2
87,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,59,65,73,-6
88,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,58,65,-1,-7
89,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,63,64,5,-1
90,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,50,64,-13,-14
91,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-59,-57,71,-2
92,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-4,-8,55,4
93,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-69,-67,-65,-2
94,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,59,65,-52,-6
95,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-80,-71,41,-9
96,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,35,43,-65,-8
97,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,70,51,35,19
98,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,9,22,-61,-13
99,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-6,1,-15,-7
100,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,79,69,85,10
101,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-31,-36,70,5
102,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,82,72,-67,10
103,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-45,-41,53,-4
104,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-28,-21,17,-7
1,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-1,-4,-21,3
2,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,0,5,1,-5
3,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-33,-33,-33,0
4,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,21,20,54,1
5,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-3,-8,-24,5
6,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,82,76,85,6
