nStim;nBlock;nTrial;inducer;target;resp;rt;bar_start;t1;t2;ISI1;ISI2;block;delta_targ;delta_ind;obs;error;errorc;error_out_after;error_removed;block_start_index;rtc;outsubj
2;7;193;1;144;136;1.00029539992101;86;0.24997689970769;0.249974462902173;2.00811518868431;2.00811055558734;7;88;37;2;-8;-6.68641114982578;0;0;0;1.00029539992101;0
2;7;194;173;33;17;1.12527550011873;106;0.249971251701936;0.249974833568558;2.0081118887756;2.00810407032259;7;-69;-40;2;-16;-14.6864111498258;0;0;0;1.12527550011873;0
1;7;195;NaN;86;96;1.14985899999738;70;0.249985348433256;0;2.0081114594359;0;7;-53;NaN;2;10;11.3135888501742;0;0;0;1.14985899999738;0
1;7;196;NaN;97;110;1.26654970017262;67;0.249980782158673;0;2.00811389274895;0;7;-11;NaN;2;13;14.3135888501742;0;0;0;1.26654970017262;0
1;7;197;NaN;170;169;1.49979209993035;61;0.249975468963385;0;2.00811195932329;0;7;-73;NaN;2;-1;0.313588850174216;0;0;0;1.49979209993035;0
1;7;198;NaN;38;24;2.24055980006233;98;0.249978440348059;0;2.00811365945265;0;7;-48;NaN;2;-14;-12.6864111498258;0;0;0;2.24055980006233;0
1;7;199;NaN;95;101;1.99033490009606;23;0.249973432859406;0;2.00811009993777;0;7;-57;NaN;2;6;7.31358885017422;0;0;0;1.99033490009606;0
1;7;200;NaN;153;160;1.03317350009456;84;0.249974644044414;0;2.00811382592656;0;7;-58;NaN;2;7;8.31358885017422;0;0;0;1.03317350009456;0
2;7;201;159;52;52;1.05858299997635;24;0.24997693579644;0.249976148130372;2.00811164430343;2.00811388134025;7;-79;-73;2;0;1.31358885017422;0;0;0;1.05858299997635;0
2;7;202;113;84;58;1.14199649984948;14;0.249975055456161;0.249974270351231;2.008117062971;2.00811061868444;7;-32;29;2;-26;-24.6864111498258;0;0;0;1.14199649984948;0
1;7;203;NaN;34;13;1.40827809995972;83;0.249979151878506;0;2.00811499240808;0;7;50;NaN;2;-21;-19.6864111498258;0;0;0;1.40827809995972;0
2;7;204;177;141;143;1.04198099998757;126;0.249980973778293;0.249971118755639;2.0081059592776;2.00811081845313;7;73;36;2;2;3.31358885017422;0;0;0;1.04198099998757;0
1;7;205;NaN;62;44;0.749896599911153;44;0.24996873177588;0;2.00810749642551;0;7;79;NaN;2;-18;-16.6864111498258;0;0;0;0.749896599911153;0
1;7;206;NaN;21;7;1.16666049999185;165;0.249979999614879;0;2.00811123335734;0;7;41;NaN;2;-14;-12.6864111498258;0;0;0;1.16666049999185;0
2;7;207;145;107;122;1.40867929998785;28;0.249981358880177;0.249968344578519;2.00810385937802;2.00811445573345;7;-86;38;2;15;16.3135888501742;0;0;0;1.40867929998785;0
2;7;208;171;74;72;1.39194069989026;149;0.249986496055499;0.249975011218339;2.00810830760747;2.00811330741271;7;33;-83;2;-2;-0.686411149825784;0;0;0;1.39194069989026;0
2;7;209;28;10;179;4.04163659992628;51;0.249966019066051;0.249971818644553;2.0081273179967;2.00811231113039;7;64;18;2;-11;-9.68641114982578;0;0;0;4.04163659992628;0
2;7;210;71;86;90;1.05027069989592;107;0.249975920887664;0.249972129473463;2.00811171834357;2.00810662237927;7;-76;-15;2;4;5.31358885017422;0;0;0;1.05027069989592;0
2;8;211;163;134;125;1.30034670000896;52;0.249965904047713;0.249967133393511;2.0081172066275;2.00811451836489;8;-48;29;2;-9;NaN;0;0;1;1.30034670000896;0
1;8;212;NaN;133;150;1.31646450003609;109;0.249976169783622;0;2.00811158167198;0;8;1;NaN;2;17;18.3135888501742;0;0;0;1.31646450003609;0
1;8;213;NaN;60;55;0.824925699969754;66;0.249980692286044;0;2.00811732956208;0;8;73;NaN;2;-5;-3.68641114982578;0;0;0;0.824925699969754;0
2;8;214;28;160;165;1.50812510005198;26;0.249986966373399;0.249975885031745;2.00811017025262;2.00811025570147;8;80;48;2;5;6.31358885017422;0;0;0;1.50812510005198;0
2;8;215;168;9;7;1.1171222999692;38;0.249979188665748;0.249970100121573;2.00810915161856;2.00811202614568;8;-29;-21;2;-2;-0.686411149825784;0;0;0;1.1171222999692;0
2;8;216;154;69;72;1.60024950001389;31;0.24997720727697;0.249972173944116;2.00810829992406;2.00810788897797;8;-60;85;2;3;4.31358885017422;0;0;0;1.60024950001389;0
1;8;217;NaN;161;153;1.11601029988378;161;0.249979303451255;0;2.00811226689257;0;8;88;NaN;2;-8;-6.68641114982578;0;0;0;1.11601029988378;0
2;8;218;117;142;151;1.78290840005502;98;0.249977996107191;0.249972870573401;2.00811232975684;2.00810515903868;8;19;-25;2;9;10.3135888501742;0;0;0;1.78290840005502;0
1;8;219;NaN;47;31;2.28151740017347;129;0.249972392804921;0;2.00811536610126;0;8;-85;NaN;2;-16;-14.6864111498258;0;0;0;2.28151740017347;0
1;8;220;NaN;84;97;1.88258109986782;41;0.249978051520884;0;2.00811098888516;0;8;-37;NaN;2;13;14.3135888501742;0;0;0;1.88258109986782;0
1;8;221;NaN;78;75;1.30834969994612;124;0.249975651502609;0;2.0081109853927;0;8;6;NaN;2;-3;-1.68641114982578;0;0;0;1.30834969994612;0
2;8;222;1;107;110;1.3252326999791;84;0.249982403591275;0.249972314573824;2.00810555531643;2.00810971134342;8;-29;74;2;3;4.31358885017422;0;0;0;1.3252326999791;0
1;8;223;NaN;71;66;1.10825200006366;53;0.249977940693498;0;2.00810741470195;0;8;36;NaN;2;-5;-3.68641114982578;0;0;0;1.10825200006366;0
1;8;224;NaN;118;127;0.90019640000537;134;0.249975358368829;0;2.0081098889932;0;8;-47;NaN;2;9;10.3135888501742;0;0;0;0.90019640000537;0
2;8;225;100;88;86;1.35764970001765;178;0.249983277637511;0.249978048261255;2.00810660398565;2.00810951879248;8;30;12;2;-2;-0.686411149825784;0;0;0;1.35764970001765;0
1;8;226;NaN;121;122;1.29992830008268;2;0.249973924830556;0;2.00811334396712;0;8;-33;NaN;2;1;2.31358885017422;0;0;0;1.29992830008268;0
1;8;227;NaN;77;75;0.949333499884233;59;0.249981377506629;0;2.00810571853071;0;8;44;NaN;2;-2;-0.686411149825784;0;0;0;0.949333499884233;0
1;8;228;NaN;24;9;0.966653300216421;17;0.249973392812535;0;2.00812082528137;0;8;53;NaN;2;-15;-13.6864111498258;0;0;0;0.966653300216421;0
1;8;229;NaN;24;13;1.09994690003805;0;0.249982537003234;0;2.00810632202774;0;8;0;NaN;2;-11;-9.68641114982578;0;0;0;1.09994690003805;0
1;8;230;NaN;22;16;1.32398570002988;108;0.249984555412084;0;2.00811357772909;0;8;2;NaN;2;-6;-4.68641114982578;0;0;0;1.32398570002988;0
2;8;231;57;134;151;0.874759900150821;173;0.249974657781422;0.24997610761784;2.00811552722007;2.00810657767579;8;68;-77;2;17;18.3135888501742;0;0;0;0.874759900150821;0
2;8;232;118;55;44;1.15854780003428;33;0.249972722493112;0.249976170482114;2.00811787717976;2.00810724799521;8;79;63;2;-11;-9.68641114982578;0;0;0;1.15854780003428;0
2;8;233;164;171;169;1.34203960001469;43;0.249978970037773;0.249972033314407;2.00810855184682;2.00811301497743;8;64;-7;2;-2;-0.686411149825784;0;0;0;1.34203960001469;0
2;8;234;125;97;104;1.19942640000954;8;0.249971688725054;0.249973648460582;2.0081129479222;2.00811038119718;8;74;28;2;7;8.31358885017422;0;0;0;1.19942640000954;0
2;8;235;44;100;105;1.65846460009925;150;0.249953967286274;0.249968470307067;2.00811806228012;2.00811072229408;8;-3;-56;2;5;6.31358885017422;0;0;0;1.65846460009925;0
2;8;236;137;179;171;1.46702979994006;90;0.249984574038535;0.249979966785759;2.00810953299515;2.00810965918936;8;-79;-42;2;-8;-6.68641114982578;0;0;0;1.46702979994006;0
1;8;237;NaN;127;135;1.02498669992201;123;0.24998109228909;0;2.00810744077899;0;8;52;NaN;2;8;9.31358885017422;0;0;0;1.02498669992201;0
2;8;238;1;38;22;1.00012340000831;74;0.249981029424816;0.249980322318152;2.00811382965185;2.00810515927151;8;89;-37;2;-16;-14.6864111498258;0;0;0;1.00012340000831;0
1;8;239;NaN;42;17;0.999939600005746;4;0.249983970075846;0;2.00810942589305;0;8;-4;NaN;2;-25;-23.6864111498258;0;0;0;0.999939600005746;0
