Participant No.,Stimulus Orientation,Participant Response,Noise Level (Concentration of von Mises)
1,10,9,0.5
1,32,34.5,4
1,120,130.5,4
1,60,35.75,0.5
1,162,152,4
1,22,41,0.5
1,178,14,0.5
1,98,106.25,4
1,128,135.5,4
1,180,171.75,0.5
1,52,39,0.5
1,75,73.5,0.5
1,84,78,0.5
1,138,150,0.5
1,148,141.75,0.5
1,19,20,4
1,33,29.25,4
1,65,60,0.5
1,11,27.75,4
1,94,107.5,0.5
1,61,54.25,4
1,32,53.5,0.5
1,38,33.25,0.5
1,163,159.25,4
1,122,130.5,4
1,85,67,4
1,165,149.5,4
1,19,34,0.5
1,135,136.75,0.5
1,133,122.5,4
1,102,71,0.5
1,34,28.75,0.5
1,108,118,0.5
1,54,40.75,4
1,25,36,4
1,39,23.5,4
1,162,147.75,4
1,13,33,0.5
1,44,43,4
1,10,24,0.5
1,80,71,4
1,3,11.25,4
1,162,161,0.5
1,36,29,4
1,17,22,4
1,56,57.5,4
1,83,69.5,0.5
1,19,31.25,0.5
1,180,15,4
1,60,54,4
1,54,57,0.5
1,12,20,4
1,54,72,0.5
1,9,12,4
1,91,107,0.5
1,138,130,0.5
1,114,121,4
1,17,25,0.5
1,15,20,4
1,140,133,4
1,163,137.5,4
1,97,80,0.5
1,20,39.25,4
1,149,142.5,4
1,61,68,4
1,53,68,0.5
1,135,141,4
1,2,12,4
1,9,10.5,0.5
1,121,126.25,4
1,109,113.75,0.5
1,95,100.25,4
1,132,142.5,0.5
1,128,147,4
1,141,138.25,4
1,52,34,4
1,125,127.5,4
1,101,107.5,4
1,72,61,4
1,12,11.25,0.5
1,141,148.5,4
1,61,61.25,4
1,110,110.5,0.5
1,134,152,0.5
1,19,23,0.5
1,24,27.5,4
1,99,100.25,0.5
1,88,77,4
1,161,145,0.5
1,144,155.75,0.5
1,133,134,0.5
1,10,18.5,0.5
1,14,23.25,0.5
1,16,23.75,0.5
1,144,142.25,0.5
1,170,159.25,4
1,124,122,0.5
1,24,31,4
1,131,136.5,0.5
1,20,26.25,4
1,22,23.75,4
1,116,112.5,0.5
1,60,63,4
1,118,114,0.5
1,135,123,0.5
1,105,115,4
1,134,120,4
1,43,40,4
1,133,123,4
1,175,166,4
1,157,150,0.5
1,16,24.25,0.5
1,66,48,4
1,67,54,4
1,124,122,4
1,108,109,0.5
1,143,140,4
1,67,60,4
1,38,58,0.5
1,16,23,4
1,139,124.75,0.5
1,38,44.5,0.5
1,70,63,0.5
1,100,116,0.5
1,42,42.25,4
1,116,101,0.5
1,88,98.5,0.5
1,28,33,0.5
1,141,145,4
1,19,27,4
1,53,32,0.5
1,43,33.5,0.5
1,96,113,0.5
1,17,30.25,4
1,73,73,4
1,19,30,0.5
1,21,26.5,4
1,142,150,0.5
1,53,45.5,4
1,109,112,0.5
1,174,165.25,4
1,78,72.5,4
1,126,130.5,4
1,137,131,4
1,78,74,4
1,118,116.5,0.5
1,20,27.75,4
1,169,151,0.5
1,34,36,4
1,48,52,0.5
1,144,134.25,0.5
1,88,89,0.5
1,139,147,4
1,72,63.25,4
1,50,40.25,0.5
1,7,18,4
1,122,132,0.5
1,78,67,4
1,82,77.5,4
1,110,118,4
1,11,26,0.5
1,57,50,4
1,140,150,4
1,126,134,0.5
1,23,25,0.5
1,24,37.25,4
1,17,26.75,0.5
1,2,11.75,0.5
1,77,73,4
