Participant No.,Stimulus Orientation,Participant Response,Noise Level (Concentration of von Mises)
5,143,126,0.5
5,35,36,4
5,57,55,4
5,62,66,0.5
5,151,153,4
5,39,43,4
5,159,136,4
5,99,99,4
5,151,141,0.5
5,131,120,4
5,128,119,4
5,60,57,4
5,38,24,0.5
5,89,89,4
5,7,165,4
5,61,49,0.5
5,91,91,4
5,171,105,0.5
5,84,91,0.5
5,168,152,4
5,50,51,4
5,109,119,0.5
5,106,120,0.5
5,132,129,0.5
5,81,72,4
5,89,94,0.5
5,136,134,4
5,144,157,4
5,135,145,4
5,155,174,0.5
5,9,173,4
5,26,25,4
5,43,33,4
5,65,55,4
5,100,108,0.5
5,109,115,4
5,137,120,0.5
5,37,33,4
5,37,30,4
5,46,43,4
5,20,17,0.5
5,163,145,4
5,54,48,0.5
5,43,39,0.5
5,102,128,0.5
5,94,91,0.5
5,67,63,4
5,41,29,4
5,8,177,0.5
5,79,10,0.5
5,166,141,0.5
5,40,21,4
5,160,152,4
5,153,143,4
5,142,134,4
5,104,106,0.5
5,132,122,4
5,28,49,4
5,147,127,4
5,12,175,0.5
5,145,139,0.5
5,111,110,4
5,67,48,0.5
5,46,46,0.5
5,67,61,4
5,36,37,4
5,137,148,0.5
5,41,130,0.5
5,142,148,4
5,163,134,0.5
5,158,160,0.5
5,112,109,0.5
5,129,123,4
5,101,106,0.5
5,101,95,0.5
5,36,34,0.5
5,16,140,0.5
5,30,43,4
5,44,48,4
5,157,144,4
5,28,22,4
5,89,61,0.5
5,40,35,4
5,34,9,0.5
5,89,90,4
5,154,149,0.5
5,67,60,0.5
5,12,9,4
5,30,24,4
5,24,27,0.5
5,74,38,0.5
5,48,42,0.5
5,24,21,0.5
5,11,18,0.5
5,167,148,0.5
5,13,86,0.5
5,76,132,0.5
5,111,122,0.5
5,81,85,4
5,97,85,4
5,129,98,0.5
5,140,33,4
5,1,7,0.5
5,65,61,0.5
5,151,124,0.5
5,166,137,0.5
5,54,43,0.5
5,46,33,4
5,95,108,4
5,174,158,4
5,177,159,0.5
5,2,0,4
5,104,98,0.5
5,115,118,4
5,168,160,4
5,110,156,0.5
5,136,124,4
5,114,116,0.5
5,26,49,0.5
5,107,41,0.5
5,16,28,4
5,34,42,4
5,20,14,0.5
5,132,131,4
5,20,143,4
5,18,4,0.5
5,53,55,4
5,44,43,4
5,1,6,4
5,72,89,0.5
5,21,38,4
5,71,54,0.5
5,34,27,0.5
5,11,164,0.5
5,135,131,0.5
5,2,4,4
5,56,50,4
5,95,82,4
5,164,172,0.5
5,67,47,4
5,61,47,0.5
5,176,7,0.5
5,170,161,0.5
5,80,73,0.5
5,84,111,0.5
5,32,43,4
5,155,153,4
5,21,14,4
5,76,68,4
5,159,152,4
5,105,119,4
5,38,24,0.5
5,32,46,4
5,108,117,4
5,42,51,0.5
5,49,56,0.5
5,54,135,4
5,119,123,4
5,100,99,0.5
5,97,111,0.5
5,144,138,4
5,36,39,4
5,15,33,4
5,116,125,0.5
5,81,114,0.5
5,28,10,4
5,75,54,4
5,110,128,0.5
5,119,122,0.5
5,17,34,4
5,67,51,0.5
5,66,61,0.5
5,14,3,0.5
5,161,144,0.5
5,72,70,4
5,129,133,0.5
5,78,103,4
5,19,31,4
5,130,118,4
5,172,172,0.5
5,14,172,0.5
5,74,46,4
5,135,169,0.5
5,97,89,4
5,87,98,0.5
5,167,162,0.5
5,136,125,4
5,140,128,4
5,87,112,0.5
5,168,156,0.5
5,27,29,0.5
5,12,15,4
5,29,21,0.5
5,134,123,4
5,34,35,0.5
5,106,121,4
5,77,73,4
5,54,50,0.5
5,128,136,4
5,58,36,0.5
5,131,128,0.5
5,173,153,0.5
5,124,140,4
5,37,0,0.5
5,29,24,0.5
5,127,131,4
5,41,37,4
5,60,56,4
5,129,132,4
5,142,127,0.5
5,178,2,4
5,8,5,4
5,116,118,4
5,44,48,0.5
5,16,61,0.5
5,125,140,4
5,169,140,0.5
5,96,120,4
5,117,114,0.5
5,146,150,4
5,83,111,0.5
5,115,118,4
5,42,44,4
5,173,5,0.5
5,178,174,4
5,123,114,4
5,54,45,0.5
5,79,56,4
5,16,30,4
5,127,128,0.5
5,32,37,0.5
5,87,83,0.5
5,170,172,0.5
5,39,51,0.5
5,122,136,0.5
5,7,12,4
5,118,123,4
5,124,130,4
5,85,84,0.5
5,121,105,0.5
5,153,142,0.5
5,79,102,4
5,95,105,0.5
5,46,101,0.5
5,178,179,0.5
5,24,1,0.5
5,131,124,4
5,41,26,0.5
5,17,18,4
5,63,55,4
5,134,131,4
5,6,4,0.5
5,36,17,4
5,145,131,0.5
5,16,176,0.5
5,39,43,4
5,11,18,4
5,101,111,4
5,125,116,0.5
5,86,90,4
5,166,154,4
5,86,89,0.5
5,135,136,0.5
5,155,139,4
5,1,175,0.5
5,159,139,4
5,6,8,0.5
5,165,172,4
5,154,146,4
5,139,140,0.5
5,153,139,4
5,122,112,4
5,82,97,4
5,103,101,0.5
5,15,31,4
5,53,46,4
5,13,8,0.5
5,119,99,0.5
5,145,151,0.5
5,143,136,4
5,98,121,0.5
5,70,131,0.5
5,166,154,0.5
5,14,26,4
5,64,66,4
5,20,12,4
5,168,148,4
5,122,122,0.5
5,179,89,0.5
5,72,85,4
5,50,56,4
5,164,151,4
5,57,37,4
5,164,137,0.5
5,157,139,4
5,20,26,4
5,87,120,4
5,68,62,4
5,41,33,4
5,47,49,0.5
5,62,51,0.5
5,70,43,4
5,138,133,0.5
5,172,174,0.5
5,75,70,4
5,12,4,0.5
5,65,24,0.5
5,93,81,4
5,163,156,0.5
5,70,58,4
5,139,134,0.5
5,87,57,4
5,120,133,0.5
5,160,159,4
5,56,47,0.5
5,25,34,4
5,150,140,0.5
5,18,128,0.5
5,97,120,4
5,28,44,4
5,171,178,0.5
5,152,139,4
5,84,69,4
5,64,70,4
5,137,129,4
5,144,133,4
5,138,138,0.5
5,19,162,0.5
5,53,39,0.5
5,12,26,4
5,46,53,0.5
5,42,40,0.5
5,73,80,0.5
5,59,90,0.5
5,93,89,4
5,32,40,4
5,112,127,0.5
5,5,10,0.5
5,105,124,0.5
5,12,12,4
5,54,5,0.5
5,100,108,0.5
5,98,111,0.5
5,123,114,4
5,37,34,0.5
5,23,13,0.5
5,101,125,0.5
5,85,98,0.5
5,98,99,4
5,65,91,0.5
5,40,48,0.5
5,84,85,0.5
5,85,107,4
5,12,18,4
5,175,1,4
5,50,35,0.5
5,105,116,4
5,41,51,4
5,153,136,0.5
5,108,110,0.5
5,144,139,4
5,179,167,0.5
5,18,5,0.5
5,26,28,4
5,153,140,0.5
5,116,114,4
5,86,92,0.5
5,120,105,0.5
5,45,59,0.5
5,111,118,0.5
5,90,94,4
5,88,88,4
5,82,71,4
5,170,166,0.5
5,133,137,0.5
5,78,95,0.5
5,152,155,4
5,154,148,0.5
5,109,117,0.5
5,179,177,4
5,114,119,4
5,124,123,0.5
5,150,145,4
5,23,36,4
5,179,165,0.5
5,180,0,4
5,58,49,0.5
5,73,3,0.5
5,37,19,4
5,14,35,0.5
5,175,175,4
5,180,173,4
5,26,38,4
5,145,134,4
5,5,1,4
5,159,163,0.5
5,87,91,4
5,144,134,4
5,168,147,4
5,180,166,4
5,135,124,0.5
5,25,40,4
5,95,96,4
5,47,51,4
5,106,105,4
5,15,32,0.5
5,2,19,0.5
5,26,19,0.5
5,92,104,0.5
5,71,88,0.5
5,79,76,4
5,138,139,4
5,128,139,4
5,137,139,0.5
5,138,146,4
5,37,48,0.5
5,79,74,0.5
5,100,96,0.5
5,18,5,0.5
5,122,144,0.5
5,117,108,0.5
5,152,143,0.5
5,59,57,4
5,146,137,4
5,91,113,0.5
5,138,129,4
5,69,61,0.5
5,55,51,4
5,61,55,0.5
5,131,137,0.5
5,19,13,0.5
5,139,155,0.5
5,114,125,0.5
5,79,96,0.5
5,67,60,4
5,123,121,0.5
5,26,26,0.5
5,125,120,4
5,49,54,4
5,46,52,0.5
5,36,29,0.5
5,87,89,4
5,117,109,4
5,38,22,0.5
5,57,90,0.5
5,171,177,0.5
5,127,135,0.5
5,157,85,0.5
5,162,46,0.5
5,19,19,4
5,28,41,4
5,88,88,0.5
5,111,101,4
5,122,100,0.5
5,176,179,4
5,124,136,4
5,82,81,0.5
5,109,97,0.5
5,163,149,4
5,155,150,0.5
5,19,172,0.5
5,64,60,4
5,126,121,0.5
5,29,50,0.5
5,122,126,0.5
5,135,135,4
5,136,126,0.5
5,153,140,0.5
5,55,43,0.5
5,128,126,4
5,23,44,0.5
5,145,29,0.5
5,14,18,0.5
5,148,151,0.5
5,152,135,4
5,110,107,4
5,179,4,4
5,83,79,0.5
5,31,40,0.5
5,36,37,0.5
5,159,148,4
5,92,81,0.5
6,3,45,0.5
6,97,134,4
6,134,76,4
6,69,34,4
6,130,115,0.5
6,138,128,0.5
6,92,89,4
6,5,28,4
6,153,161,4
6,138,132,0.5
6,45,25,0.5
6,121,121,4
6,89,76,4
6,105,88,0.5
6,102,64,4
6,125,149,0.5
6,15,15,0.5
6,50,24,4
6,19,19,4
6,137,93,0.5
6,28,19,4
6,102,127,4
6,105,106,4
6,65,44,4
6,156,35,0.5
6,114,93,4
6,40,25,0.5
6,104,144,0.5
6,43,11,0.5
6,85,69,4
6,125,155,0.5
6,84,51,4
6,123,47,0.5
6,94,113,4
6,137,139,4
6,3,10,0.5
6,47,26,0.5
6,124,123,4
6,96,111,4
6,26,52,4
6,143,160,0.5
6,83,157,4
6,136,104,0.5
6,125,141,4
6,118,44,0.5
6,163,145,0.5
6,80,69,4
6,180,13,4
6,18,35,0.5
6,58,49,0.5
6,119,72,0.5
6,168,168,0.5
6,30,23,0.5
6,135,99,0.5
6,132,145,0.5
6,178,7,0.5
6,141,128,0.5
6,71,35,0.5
6,80,49,4
6,160,143,4
6,151,22,0.5
6,2,24,0.5
6,87,114,0.5
6,79,57,0.5
6,112,126,0.5
6,124,127,4
6,50,34,4
6,105,44,0.5
6,148,132,4
6,137,21,0.5
6,123,133,4
6,145,28,4
6,129,172,4
6,97,31,0.5
6,53,44,4
6,134,108,0.5
6,157,133,4
6,175,163,0.5
6,175,147,4
6,70,63,4
6,29,19,0.5
6,167,149,4
6,127,104,0.5
6,119,138,0.5
6,145,169,4
6,88,62,4
6,2,168,0.5
6,51,28,4
6,140,139,4
6,20,27,4
6,54,32,0.5
6,20,17,0.5
6,39,160,0.5
6,120,106,0.5
6,179,166,0.5
6,180,179,4
6,57,62,4
6,155,138,4
6,155,139,4
6,59,16,0.5
6,31,152,0.5
6,99,133,4
6,64,38,0.5
6,147,132,4
6,170,126,0.5
6,57,65,0.5
6,70,55,4
6,27,28,4
6,153,173,4
6,10,37,4
6,37,23,4
6,75,117,0.5
6,77,44,4
6,25,77,0.5
6,107,141,4
6,82,143,0.5
6,95,129,4
6,107,125,4
6,42,41,4
6,27,39,0.5
6,155,154,4
6,42,51,4
6,58,20,0.5
6,124,138,0.5
6,123,139,4
6,96,120,4
6,127,144,0.5
6,172,151,4
6,79,56,4
6,54,37,4
6,12,35,0.5
6,171,152,0.5
6,154,140,4
6,135,33,0.5
6,101,108,0.5
6,55,45,4
6,156,127,0.5
6,144,151,4
6,23,39,0.5
6,105,137,4
6,57,23,4
6,140,133,4
6,130,35,0.5
6,38,53,0.5
6,147,15,0.5
6,107,147,0.5
6,153,154,4
6,81,40,4
6,85,109,4
6,179,143,0.5
6,94,78,0.5
6,11,171,0.5
6,72,53,0.5
6,114,153,4
6,147,143,4
6,109,122,4
6,28,29,4
6,49,107,0.5
6,74,38,4
6,50,22,4
6,76,23,4
6,68,30,4
6,139,24,0.5
6,155,155,0.5
6,165,151,4
6,26,28,0.5
6,77,159,0.5
6,54,28,4
6,35,43,4
6,10,138,0.5
6,120,126,4
6,125,121,4
6,54,35,4
6,34,40,4
6,72,168,0.5
6,154,45,0.5
6,86,133,0.5
6,162,139,4
6,131,161,0.5
6,6,12,4
6,7,12,4
6,173,138,4
6,108,133,4
6,117,146,4
6,93,67,0.5
6,59,83,0.5
6,110,116,0.5
6,145,143,4
6,80,43,4
6,17,13,0.5
6,65,60,4
6,159,146,0.5
6,92,131,4
6,33,50,4
6,132,139,4
6,106,148,4
6,49,45,0.5
6,179,158,4
6,28,30,4
6,152,166,0.5
6,118,148,0.5
6,33,35,0.5
6,19,65,0.5
6,95,123,4
6,177,156,0.5
6,85,112,4
6,115,112,0.5
6,89,124,0.5
6,124,133,4
6,52,47,4
6,168,153,4
6,65,63,4
6,161,153,0.5
6,87,46,0.5
6,163,149,4
6,169,131,0.5
6,28,40,4
6,124,150,4
6,25,161,0.5
6,105,132,4
6,73,27,0.5
6,150,132,0.5
6,157,155,4
6,13,26,0.5
6,136,143,0.5
6,174,154,4
6,78,146,0.5
6,107,145,4
6,104,140,4
6,178,162,4
6,167,173,4
6,33,37,4
6,159,170,4
6,8,37,0.5
6,41,35,0.5
6,55,31,4
6,123,144,0.5
6,11,28,4
6,179,178,4
6,151,130,0.5
6,14,36,0.5
6,21,42,4
6,6,22,4
6,136,165,0.5
6,94,34,0.5
6,47,37,0.5
6,73,36,0.5
6,59,44,4
6,44,31,0.5
6,153,153,0.5
6,65,13,0.5
6,77,75,0.5
6,75,38,4
6,124,142,4
6,84,66,4
6,159,134,0.5
6,50,40,0.5
6,126,152,4
6,127,116,4
6,135,127,0.5
6,71,46,4
6,150,141,4
6,153,117,4
6,65,36,0.5
6,177,170,0.5
6,123,130,0.5
6,10,160,0.5
6,88,58,4
6,106,139,4
6,73,69,0.5
6,160,145,0.5
6,26,20,0.5
6,93,121,0.5
6,82,61,4
6,110,115,0.5
6,27,35,4
6,149,145,4
6,26,0,4
6,76,125,4
6,133,151,4
6,18,37,4
6,125,138,0.5
6,111,117,4
6,3,38,4
6,95,135,0.5
6,72,48,0.5
6,142,134,0.5
6,140,146,0.5
6,112,153,0.5
6,33,20,4
6,153,144,0.5
6,179,53,0.5
6,125,133,0.5
6,37,56,4
6,133,132,0.5
6,14,40,0.5
6,67,39,0.5
6,95,157,0.5
6,149,161,0.5
6,48,48,0.5
6,28,24,4
6,155,144,4
6,138,137,0.5
6,10,43,0.5
6,100,128,0.5
6,1,179,4
6,96,80,0.5
6,121,97,0.5
6,122,116,0.5
6,60,41,0.5
6,6,45,0.5
6,163,134,4
6,77,112,0.5
6,142,151,4
6,105,135,4
6,142,149,4
6,56,46,0.5
6,6,21,4
6,129,131,0.5
6,71,69,4
6,131,138,4
6,22,36,0.5
6,133,152,0.5
6,103,129,0.5
6,136,139,4
6,38,33,0.5
6,86,31,0.5
6,64,35,4
6,163,151,4
6,58,55,4
6,84,64,0.5
6,14,26,4
6,150,0,0.5
6,42,35,4
6,67,44,0.5
6,158,153,4
6,93,117,4
6,158,152,0.5
6,2,147,0.5
6,16,22,4
6,133,146,0.5
6,177,21,0.5
6,99,91,4
6,30,32,0.5
6,74,88,0.5
6,45,48,4
6,79,79,0.5
6,60,18,0.5
6,36,34,0.5
6,93,119,0.5
6,157,135,0.5
6,64,36,4
6,31,55,4
6,61,114,0.5
6,48,46,4
6,154,139,4
6,86,44,4
6,130,115,4
6,95,111,4
6,151,149,0.5
6,49,55,4
6,42,58,0.5
6,150,141,4
6,145,44,0.5
6,45,43,4
6,13,26,0.5
6,10,36,0.5
6,146,136,4
6,26,36,0.5
6,89,64,4
6,1,6,4
6,87,105,4
6,80,43,0.5
6,118,114,0.5
6,67,54,0.5
6,56,131,0.5
6,42,42,4
6,101,135,0.5
6,64,51,0.5
6,28,43,0.5
6,134,146,0.5
6,46,38,4
6,71,150,0.5
6,101,116,4
6,163,165,0.5
6,153,146,0.5
6,15,32,4
6,98,123,0.5
6,21,38,0.5
6,86,94,4
6,3,23,4
6,129,145,0.5
6,106,68,0.5
6,7,8,0.5
6,42,30,0.5
6,71,27,4
6,144,125,4
6,134,140,4
6,168,166,4
6,17,24,4
6,54,136,4
6,35,50,0.5
6,177,22,0.5
6,146,148,0.5
6,80,74,4
6,12,21,4
6,63,76,4
6,65,141,0.5
6,166,157,4
6,169,147,4
6,144,164,0.5
6,132,142,0.5
6,4,171,0.5
6,114,124,4
6,73,59,0.5
6,139,120,0.5
6,99,129,0.5
6,26,33,4
6,56,30,4
6,96,126,0.5
6,175,154,4
6,93,121,4
6,105,153,0.5
6,123,139,4
6,93,133,4
6,90,49,0.5
6,44,37,4
6,73,20,0.5
6,16,140,0.5
6,33,37,0.5
6,88,81,4
6,36,46,4
6,77,57,4
6,138,131,4
6,91,55,0.5
6,107,122,4
6,21,61,0.5
6,81,120,4
6,103,68,0.5
6,167,151,4
6,8,33,0.5
6,171,172,0.5
6,126,128,4
6,44,28,4
6,65,56,4
6,119,142,4
6,88,114,0.5
6,161,166,4
6,111,118,0.5
6,176,165,0.5
6,141,124,0.5
6,51,56,0.5
6,15,26,4
6,68,43,4
6,12,35,0.5
6,108,160,4
6,125,35,0.5
6,128,142,4
6,127,136,0.5
6,57,73,4
6,37,43,4
6,15,41,0.5
6,141,150,4
6,104,133,4
6,62,18,4
6,144,30,0.5
6,104,139,4
6,166,13,0.5
6,159,154,0.5
6,118,141,0.5
6,120,131,4
6,175,22,0.5
6,67,61,0.5
6,10,40,0.5
6,72,46,4
6,128,137,4
6,120,119,0.5
6,39,40,0.5
6,120,122,4
6,165,174,4
6,92,99,4
6,166,157,0.5
6,52,44,4
6,31,31,4
6,71,50,0.5
6,103,123,0.5
6,91,70,4
6,136,150,4
6,52,45,4
6,91,114,0.5
6,93,123,0.5
6,102,115,0.5
6,70,41,4
6,130,125,0.5
6,14,176,0.5
6,17,17,4
6,44,26,4
6,63,41,4
6,161,133,0.5
6,108,144,4
6,36,167,0.5
6,151,144,4
6,180,38,0.5
6,63,58,4
6,173,138,4
6,123,131,4
6,20,29,0.5
6,18,165,0.5
6,169,150,4
6,106,130,4
6,37,51,4
6,121,140,0.5
6,100,118,4
6,57,53,0.5
6,84,74,4
6,177,47,0.5
6,42,21,4
6,136,120,4
6,53,125,0.5
6,178,17,0.5
6,121,141,4
6,163,123,4
6,168,156,4
6,20,170,0.5
6,146,142,0.5
6,35,20,4
6,36,22,0.5
6,15,32,4
6,38,36,4
6,24,27,4
6,159,147,4
6,21,36,0.5
6,78,40,4
6,162,150,4
6,7,40,0.5
6,68,147,0.5
6,49,28,4
6,18,36,4
6,92,91,4
6,58,22,0.5
6,34,21,0.5
6,143,146,4
6,122,135,0.5
6,175,32,0.5
6,96,108,4
6,144,32,0.5
6,49,44,0.5
6,62,65,4
6,130,138,0.5
6,147,134,0.5
6,116,138,0.5
6,48,61,0.5
6,39,54,0.5
6,36,27,0.5
6,110,122,0.5
6,107,131,4
6,124,136,0.5
6,68,36,4
6,102,161,0.5
6,61,50,4
6,145,157,0.5
6,7,41,4
6,96,120,0.5
6,70,49,4
6,13,30,4
6,50,22,0.5
6,174,167,4
6,146,163,0.5
6,69,54,0.5
6,4,29,4
6,15,32,4
6,90,55,0.5
6,70,136,0.5
6,136,154,0.5
6,110,163,4
6,113,137,0.5
6,146,152,4
6,21,60,0.5
6,115,124,4
6,96,107,0.5
6,91,98,4
6,8,161,0.5
6,88,122,0.5
6,110,121,0.5
6,75,64,4
6,152,155,4
6,104,151,0.5
6,134,132,0.5
6,114,149,4
6,161,148,0.5
6,134,159,4
6,141,149,0.5
6,28,32,4
6,126,152,4
6,45,61,4
6,40,42,4
6,80,79,4
6,104,112,4
6,38,45,0.5
6,3,164,0.5
6,95,122,4
6,118,135,0.5
6,171,70,0.5
6,33,144,0.5
6,171,175,0.5
6,124,138,4
6,97,86,4
6,27,25,4
6,99,130,0.5
6,125,129,0.5
6,56,60,0.5
6,1,149,4
6,151,163,4
6,78,59,4
6,149,147,4
6,60,54,4
6,19,33,0.5
6,28,19,0.5
6,77,60,4
6,169,138,0.5
6,11,25,4
6,15,41,4
6,117,118,4
6,127,15,4
6,159,146,0.5
6,27,43,4
6,69,72,0.5
6,153,37,0.5
6,100,99,4
6,174,129,4
6,166,171,0.5
6,141,135,4
6,13,17,0.5
6,30,35,0.5
6,168,163,0.5
6,115,124,4
6,96,123,4
6,63,63,4
6,90,103,0.5
6,171,152,4
6,23,29,0.5
6,3,136,0.5
6,93,79,0.5
6,173,3,0.5
6,22,34,0.5
6,75,43,4
6,74,30,0.5
6,140,134,0.5
6,109,136,0.5
6,29,41,0.5
6,149,152,0.5
6,44,19,4
6,38,53,0.5
6,20,44,0.5
6,12,43,0.5
6,134,162,0.5
6,170,150,4
6,156,135,4
6,53,28,0.5
6,178,152,0.5
6,80,68,4
6,115,108,4
6,91,93,0.5
6,116,144,4
6,27,42,0.5
6,70,68,0.5
6,70,47,0.5
6,19,29,0.5
6,177,30,4
6,65,26,0.5
6,145,150,0.5
6,123,132,4
6,107,126,0.5
6,13,26,0.5
6,144,148,0.5
6,39,25,4
6,65,54,4
6,55,45,0.5
6,167,173,0.5
6,96,120,4
6,67,45,4
6,96,112,0.5
6,118,142,4
6,95,134,0.5
6,29,110,0.5
6,58,37,0.5
6,88,39,0.5
6,7,176,4
6,93,112,0.5
6,123,156,4
6,33,31,4
6,34,36,4
6,68,34,4
6,108,143,4
6,41,33,4
6,102,121,4
6,162,155,0.5
6,71,30,0.5
6,74,47,4
6,163,140,0.5
6,173,147,0.5
6,91,129,4
6,75,49,4
6,110,139,4
6,119,55,0.5
6,8,18,0.5
6,43,32,4
6,101,126,4
6,4,10,4
6,121,114,4
6,14,40,4
6,139,119,4
6,130,150,0.5
6,79,148,0.5
6,132,132,4
6,153,142,0.5
6,113,99,0.5
6,44,41,4
6,35,48,4
6,155,129,4
6,108,143,0.5
6,175,132,0.5
6,33,31,4
6,141,134,4
6,152,21,0.5
6,151,133,4
6,67,66,4
6,86,58,4
6,30,33,4
6,111,111,4
6,4,34,4
6,133,123,0.5
6,131,155,0.5
6,54,52,4
6,167,10,0.5
6,57,31,4
6,173,26,4
6,135,132,0.5
6,48,45,0.5
6,140,150,0.5
6,140,162,4
6,142,156,4
6,90,79,4
6,125,140,4
6,27,44,0.5
6,118,119,4
6,42,70,0.5
6,157,156,4
6,173,169,0.5
6,123,141,0.5
6,25,36,4
6,128,161,0.5
6,23,34,4
6,108,133,0.5
6,156,140,4
6,162,170,0.5
6,55,50,4
6,150,149,0.5
6,13,178,0.5
6,133,138,4
6,31,26,4
6,175,162,4
6,6,23,0.5
6,147,141,4
6,176,145,4
6,35,16,4
6,143,167,0.5
6,146,130,0.5
6,165,170,4
6,49,119,0.5
6,10,158,0.5
6,80,55,0.5
6,118,127,0.5
6,19,42,0.5
6,23,140,0.5
6,171,149,4
6,32,58,4
6,122,140,0.5
6,74,48,4
6,68,60,4
6,121,139,4
6,84,136,4
6,104,108,4
6,90,116,4
6,167,140,4
6,110,127,0.5
6,130,50,0.5
6,89,116,0.5
6,16,29,0.5
6,173,155,0.5
6,22,14,4
6,29,46,4
6,49,51,4
6,101,151,0.5
6,102,130,0.5
6,74,56,4
6,117,142,0.5
6,128,123,4
6,95,74,4
6,179,157,4
6,21,55,4
6,105,114,4
6,151,121,0.5
6,78,102,0.5
6,97,88,4
6,91,122,4
6,80,63,4
6,157,139,0.5
6,57,104,0.5
6,17,26,4
6,10,31,0.5
6,80,72,0.5
6,60,38,4
6,116,128,0.5
6,111,113,0.5
6,40,56,0.5
6,122,139,0.5
6,179,159,0.5
6,17,24,4
6,166,131,0.5
6,106,153,0.5
7,67,5,0.5
7,90,80,4
7,117,134,0.5
7,82,41,0.5
7,54,45,0.5
7,22,132,0.5
7,57,63,4
7,56,55,4
7,168,154,4
7,141,135,4
7,112,79,4
7,8,14,4
7,156,124,4
7,67,50,4
7,89,103,0.5
7,136,129,4
7,161,6,4
7,56,51,4
7,64,112,0.5
7,73,80,0.5
7,76,46,4
7,76,117,0.5
7,81,129,0.5
7,100,129,0.5
7,159,43,0.5
7,135,133,4
7,45,26,0.5
7,140,126,4
7,129,50,0.5
7,51,142,0.5
7,98,71,4
7,2,8,0.5
7,103,106,4
7,120,136,4
7,61,135,0.5
7,27,125,0.5
7,170,30,0.5
7,135,123,0.5
7,156,161,4
7,80,124,4
7,16,33,0.5
7,147,171,4
7,20,20,0.5
7,82,129,0.5
7,163,0,0.5
7,3,0,4
7,28,81,0.5
7,168,148,4
7,109,120,4
7,124,148,4
7,89,76,0.5
7,84,67,4
7,67,127,0.5
7,134,130,4
7,21,43,0.5
7,126,126,4
7,94,76,0.5
7,29,47,0.5
7,81,71,4
7,71,68,0.5
7,83,103,0.5
7,128,137,4
7,115,133,4
7,106,111,4
7,139,163,4
7,55,172,0.5
7,45,43,0.5
7,40,33,4
7,91,97,4
7,167,134,4
7,46,89,0.5
7,162,163,4
7,70,60,4
7,130,116,0.5
7,15,28,4
7,87,77,4
7,164,151,4
7,178,171,4
7,8,166,0.5
7,176,109,0.5
7,135,127,4
7,51,67,0.5
7,114,143,0.5
7,71,60,4
7,151,128,4
7,66,68,0.5
7,3,164,4
7,179,1,0.5
7,127,122,0.5
7,47,142,0.5
7,63,105,0.5
7,23,42,0.5
7,6,5,4
7,89,84,4
7,50,40,0.5
7,140,123,0.5
7,29,28,4
7,92,69,0.5
7,135,143,0.5
7,28,23,0.5
7,114,66,0.5
7,57,83,4
7,170,139,4
7,13,169,0.5
7,130,131,0.5
7,8,50,0.5
7,138,128,4
7,135,121,0.5
7,159,170,4
7,71,64,4
7,155,90,0.5
7,69,76,0.5
7,34,25,0.5
7,45,117,0.5
7,102,99,0.5
7,34,54,0.5
7,88,92,0.5
7,135,132,0.5
7,86,88,4
7,37,51,4
7,4,179,4
7,120,136,4
7,8,7,0.5
7,169,15,0.5
7,51,37,4
7,110,102,0.5
7,89,86,4
7,18,26,4
7,120,115,4
7,31,53,0.5
7,72,59,0.5
7,83,119,0.5
7,112,113,4
7,61,71,4
7,106,136,0.5
7,100,122,4
7,120,112,4
7,120,136,4
7,62,58,4
7,163,20,0.5
7,101,99,0.5
7,82,85,4
7,87,85,4
7,19,24,4
7,44,70,0.5
7,79,77,0.5
7,39,49,0.5
7,10,26,0.5
7,47,84,0.5
7,134,139,0.5
7,135,149,4
7,26,55,0.5
7,107,128,0.5
7,169,179,4
7,53,32,0.5
7,112,106,0.5
7,93,93,4
7,117,120,4
7,20,14,4
7,165,160,4
7,115,98,0.5
7,166,175,4
7,100,93,0.5
7,128,134,4
7,58,40,4
7,94,106,4
7,125,141,0.5
7,131,127,4
7,169,13,4
7,27,13,0.5
7,153,165,4
7,120,125,0.5
7,112,101,4
7,64,57,0.5
7,60,47,4
7,113,130,4
7,28,34,4
7,125,129,4
7,157,155,4
7,179,9,0.5
7,129,127,4
7,63,80,4
7,169,84,0.5
7,149,126,0.5
7,16,30,4
7,151,145,4
7,75,94,0.5
7,18,30,4
7,19,141,0.5
7,175,159,0.5
7,131,144,0.5
7,78,138,0.5
7,37,39,4
7,29,115,0.5
7,43,33,4
7,168,158,4
7,69,67,4
7,153,141,0.5
7,179,175,0.5
7,121,106,0.5
7,86,95,4
7,100,106,4
7,16,8,0.5
7,89,76,4
7,31,45,4
7,101,111,4
7,95,98,0.5
7,37,123,0.5
7,51,61,4
7,33,38,4
7,24,56,0.5
7,150,166,0.5
7,172,161,0.5
7,155,134,4
7,130,132,4
7,147,106,0.5
7,175,36,0.5
7,142,137,4
7,28,37,4
7,63,59,4
7,135,57,0.5
7,22,142,0.5
7,13,60,0.5
7,166,112,0.5
7,84,116,0.5
7,48,111,0.5
7,100,93,4
7,86,79,4
7,21,164,4
7,113,108,0.5
7,163,146,4
7,18,34,0.5
7,25,4,0.5
7,71,86,0.5
7,58,65,0.5
7,158,166,4
7,140,124,0.5
7,140,149,4
7,50,43,4
7,100,116,0.5
7,132,83,0.5
7,129,115,0.5
7,109,118,0.5
7,145,155,4
7,71,82,0.5
